TM_KEY_MTH,TM_KEY_WK,CENTER,METRIC_GRP,COMP_CD,PRODUCT_GRP,METRIC_CD,METRIC_NAME,DIMENSION_KPI_FLAG,BG_FLAG,AGG_TYPE,RR_IND,GRY_IND,UOM,PERIOD,ACTUAL_AGG,TARGET_AGG,PPN_TM
202304,2023013,Customer Service Experience & Retention,Retention & Churn,TRUE,Postpaid,TSER11201,Postpaid Save Rate : TMH,N,N,N,0,GYR,%,M,75.91,90.0,2023-06-13 08:49:22
202305,2023021,Customer Service Experience & Retention,Retention & Churn,TRUE,Postpaid,TSER11201,Postpaid Save Rate : TMH,N,N,N,0,GYR,%,M,81.49,90.0,2023-06-13 08:49:22
202306,2023022,Customer Service Experience & Retention,Retention & Churn,TRUE,Postpaid,TSER11201,Postpaid Save Rate : TMH,N,N,N,0,GYR,%,M,79.64,90.0,2023-06-13 08:49:22
202304,2023015,Digitalization,,TRUE,,VIN00040,Postpaid Subs Share : DTAC,N,N,N,0,GYR,%,M,19.27,,2023-06-13 08:49:22
202305,2023021,Digitalization,,TRUE,,VIN00040,Postpaid Subs Share : DTAC,N,N,N,0,GYR,%,M,19.27,,2023-06-13 08:49:22
202306,2023022,Digitalization,,TRUE,,VIN00040,Postpaid Subs Share : DTAC,N,N,N,0,GYR,%,M,19.27,,2023-06-13 08:49:22
202303,2023010,Digitalization,,TRUE,,VIN00039,Postpaid Subs Share : TMH,N,N,N,0,GYR,%,M,38.28,,2023-06-13 08:49:22
202304,2023017,Digitalization,,TRUE,,VIN00039,Postpaid Subs Share : TMH,N,N,N,0,GYR,%,M,37.98,,2023-06-13 08:49:22
202306,2023023,Digitalization,,TRUE,,VIN00037,Postpaid Subs Share : TMH & DTAC,N,N,N,0,GYR,%,M,57.25,,2023-06-13 08:49:22
202304,2023014,Digitalization,,TRUE,,VIN00034,Postpaid Value Share : AIS,N,N,N,0,GYR,%,M,44.94,,2023-06-13 08:49:22
202305,2023019,Digitalization,,TRUE,,VIN00034,Postpaid Value Share : AIS,N,N,N,0,GYR,%,M,44.94,,2023-06-13 08:49:22
202306,2023022,Digitalization,,TRUE,,VIN00034,Postpaid Value Share : AIS,N,N,N,0,GYR,%,M,44.94,,2023-06-13 08:49:22
202303,2023012,Digitalization,,TRUE,,VIN00036,Postpaid Value Share : DTAC,N,N,N,0,GYR,%,M,21.26,,2023-06-13 08:49:22
202304,2023015,Digitalization,,TRUE,,VIN00036,Postpaid Value Share : DTAC,N,N,N,0,GYR,%,M,21.22,,2023-06-13 08:49:22
202305,2023018,Digitalization,,TRUE,,VIN00036,Postpaid Value Share : DTAC,N,N,N,0,GYR,%,M,21.22,,2023-06-13 08:49:22
202305,2023022,Digitalization,,TRUE,,VIN00036,Postpaid Value Share : DTAC,N,N,N,0,GYR,%,M,21.22,,2023-06-13 08:49:22
202303,2023009,Digitalization,,TRUE,,VIN00033,Postpaid Value Share : TMH & DTAC,N,N,N,0,GYR,%,M,55.4,,2023-06-13 08:49:22
202305,2023018,Digitalization,,TRUE,,VIN00033,Postpaid Value Share : TMH & DTAC,N,N,N,0,GYR,%,M,55.06,,2023-06-13 08:49:22
202305,2023020,Digitalization,,TRUE,,VIN00033,Postpaid Value Share : TMH & DTAC,N,N,N,0,GYR,%,M,55.06,,2023-06-13 08:49:22
202305,2023022,Digitalization,,TRUE,,VIN00033,Postpaid Value Share : TMH & DTAC,N,N,N,0,GYR,%,M,55.06,,2023-06-13 08:49:22
202304,2023016,Sales & Revenue,Sales,ALL,Postpaid,B2S000103,Pre to Post,N,N,S,1,GYR,subs,M,37899.0,,2023-06-13 08:49:22
202305,2023020,Sales & Revenue,Sales,ALL,Postpaid,B2S000103,Pre to Post,N,N,S,1,GYR,subs,M,40366.0,,2023-06-13 08:49:22
202303,2023009,Sales & Revenue,Sales,DTAC,Postpaid,DB2S000103,Pre to Post : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202303,2023013,Sales & Revenue,Sales,DTAC,Postpaid,DB2S000103,Pre to Post : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202304,2023015,Sales & Revenue,Sales,DTAC,Postpaid,DB2S000103,Pre to Post : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202305,2023018,Sales & Revenue,Sales,TRUE,Postpaid,TB2S000103,Pre to Post : TMH,N,N,S,1,GYR,subs,M,14659.0,,2023-06-13 08:49:22
202305,2023020,Sales & Revenue,Sales,TRUE,Postpaid,TB2S000103,Pre to Post : TMH,N,N,S,1,GYR,subs,M,40366.0,,2023-06-13 08:49:22
202303,2023010,Sales & Revenue,Sales,ALL,Postpaid,B2S010103,Pre to Post B2C,N,N,S,0,GYR,subs,M,18692.0,,2023-06-13 08:49:22
202303,2023013,Sales & Revenue,Sales,ALL,Postpaid,B2S010103,Pre to Post B2C,N,N,S,0,GYR,subs,M,48503.0,,2023-06-13 08:49:22
202305,2023021,Sales & Revenue,Sales,ALL,Postpaid,B2S010103,Pre to Post B2C,N,N,S,0,GYR,subs,M,50077.0,,2023-06-13 08:49:22
202305,2023018,Sales & Revenue,Sales,DTAC,Postpaid,DB2S010103,Pre to Post B2C : DTAC,N,N,S,0,GYR,subs,M,0.0,,2023-06-13 08:49:22
202305,2023022,Sales & Revenue,Sales,DTAC,Postpaid,DB2S010103,Pre to Post B2C : DTAC,N,N,S,0,GYR,subs,M,0.0,,2023-06-13 08:49:22
202304,2023015,Sales & Revenue,Sales,ALL,Prepaid,B1S000103,Prepaid Activation Subs : AEC/Migrants,N,N,S,1,GYR,subs,M,118183.0,,2023-06-13 08:49:22
202305,2023019,Sales & Revenue,Sales,ALL,Prepaid,B1S000103,Prepaid Activation Subs : AEC/Migrants,N,N,S,1,GYR,subs,M,110792.0,,2023-06-13 08:49:22
202305,2023021,Sales & Revenue,Sales,ALL,Prepaid,B1S000103,Prepaid Activation Subs : AEC/Migrants,N,N,S,1,GYR,subs,M,245196.0,,2023-06-13 08:49:22
202303,2023010,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000103,Prepaid Activation Subs : AEC/Migrants : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202303,2023011,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000103,Prepaid Activation Subs : AEC/Migrants : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202304,2023013,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000103,Prepaid Activation Subs : AEC/Migrants : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
202305,2023019,Sales & Revenue,Sales,DTAC,Prepaid,DB1S000103,Prepaid Activation Subs : AEC/Migrants : DTAC,N,N,S,1,GYR,subs,M,0.0,,2023-06-13 08:49:22
