Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Changwat Chai Nat, 55-64",26.54,59.61,13.85,0,24000,6500,14000,3400,0,All OS,Changwat Chai Nat,55-64,Age,Province
"Changwat Chai Nat, 65+",25.97,60.42,13.61,0,15000,3900,8900,2100,0,All OS,Changwat Chai Nat,65+,Age,Province
"Changwat Surin, 13-17",32.14,58.03,9.83,0,58000,20000,37000,6200,0,All OS,Changwat Surin,13-17,Age,Province
"Changwat Surin, 18-24",33.39,55.84,10.77,0,129000,47000,79000,15000,0,All OS,Changwat Surin,18-24,Age,Province
"Changwat Surin, 25-34",31.83,57.81,10.35,0,232000,78000,141000,26000,0,All OS,Changwat Surin,25-34,Age,Province
"Changwat Surin, 35-44",29.6,59.34,11.06,0,140000,43000,85000,18000,0,All OS,Changwat Surin,35-44,Age,Province
"Changwat Surin, 45-54",24.16,65.26,10.58,0,106000,27000,71000,11000,0,All OS,Changwat Surin,45-54,Age,Province
"Changwat Surin, 55-64",20.89,69.13,9.98,0,75000,16000,53000,7600,0,All OS,Changwat Surin,55-64,Age,Province
"Changwat Surin, 65+",21.34,68.95,9.72,0,41000,9000,29000,4100,0,All OS,Changwat Surin,65+,Age,Province
"Changwat Uthai Thani, 13-17",30.03,62.83,7.14,0,12000,4000,8100,910,0,All OS,Changwat Uthai Thani,13-17,Age,Province
"Changwat Uthai Thani, 18-24",32.25,58.02,9.73,0,31000,10000,20000,3000,0,All OS,Changwat Uthai Thani,18-24,Age,Province
"Changwat Uthai Thani, 25-34",30.49,60.85,8.66,0,61000,19000,39000,5400,0,All OS,Changwat Uthai Thani,25-34,Age,Province
"Changwat Uthai Thani, 35-44",27.71,64.01,8.27,0,40000,12000,26000,3400,0,All OS,Changwat Uthai Thani,35-44,Age,Province
"Changwat Uthai Thani, 45-54",25.2,66.7,8.1,0,28000,7400,19000,2300,0,All OS,Changwat Uthai Thani,45-54,Age,Province
"Changwat Uthai Thani, 55-64",21.73,69.82,8.44,0,22000,5000,16000,1900,0,All OS,Changwat Uthai Thani,55-64,Age,Province
"Changwat Uthai Thani, 65+",22.86,70.28,6.86,0,13000,3100,9100,960,0,All OS,Changwat Uthai Thani,65+,Age,Province
"Changwat Tak, 13-17",32.24,54.1,13.67,0,41000,14000,24000,5900,0,All OS,Changwat Tak,13-17,Age,Province
"Changwat Tak, 18-24",31.24,51.84,16.92,0,110000,36000,59000,20000,0,All OS,Changwat Tak,18-24,Age,Province
