Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Changwat Khon Kaen, $400 - $599",35.63,42.19,22.18,0,153000,57000,68000,35000,0,All OS,Changwat Khon Kaen,$400 - $599,Device,Province
"Changwat Khon Kaen, $600 - $999",37.27,41.16,21.58,0,195000,76000,85000,44000,0,All OS,Changwat Khon Kaen,$600 - $999,Device,Province
"Changwat Trang, Price unknown",24.13,47.91,27.96,0,19000,4900,9500,5800,0,All OS,Changwat Trang,Price unknown,Device,Province
"Changwat Trang, $1,000 or more",27.76,45.03,27.21,0,69000,20000,32000,19000,0,All OS,Changwat Trang,"$1,000 or more",Device,Province
"Changwat Trang, Less than $100",19.28,54.98,25.74,0,26000,5300,14000,6800,0,All OS,Changwat Trang,Less than $100,Device,Province
"Changwat Trang, $100 - $149",20.08,53.73,26.19,0,83000,17000,46000,23000,0,All OS,Changwat Trang,$100 - $149,Device,Province
"Changwat Trang, $150 - $199",21.2,51.27,27.53,0,73000,16000,39000,21000,0,All OS,Changwat Trang,$150 - $199,Device,Province
"Changwat Trang, $200 - $249",23.29,48.32,28.39,0,44000,10000,23000,13000,0,All OS,Changwat Trang,$200 - $249,Device,Province
"Changwat Trang, $250 - $299",20.45,52.06,27.49,0,44000,9000,22000,12000,0,All OS,Changwat Trang,$250 - $299,Device,Province
"Changwat Trang, $300 - $399",22.51,48.81,28.67,0,47000,11000,25000,14000,0,All OS,Changwat Trang,$300 - $399,Device,Province
"Changwat Trang, $400 - $599",23.92,48.65,27.42,0,65000,16000,34000,19000,0,All OS,Changwat Trang,$400 - $599,Device,Province
"Changwat Trang, $600 - $999",26.32,45.86,27.82,0,64000,18000,31000,19000,0,All OS,Changwat Trang,$600 - $999,Device,Province
"Changwat Prachuap Khiri Khan, Price unknown",30.34,55.33,14.33,0,16000,4900,9600,2400,0,All OS,Changwat Prachuap Khiri Khan,Price unknown,Device,Province
"Changwat Prachuap Khiri Khan, $1,000 or more",29.79,57.55,12.66,0,94000,29000,55000,13000,0,All OS,Changwat Prachuap Khiri Khan,"$1,000 or more",Device,Province
"Changwat Prachuap Khiri Khan, Less than $100",17.15,67.95,14.91,0,20000,3400,14000,3000,0,All OS,Changwat Prachuap Khiri Khan,Less than $100,Device,Province
"Changwat Prachuap Khiri Khan, $100 - $149",17.35,69.81,12.83,0,62000,11000,44000,8400,0,All OS,Changwat Prachuap Khiri Khan,$100 - $149,Device,Province
"Changwat Prachuap Khiri Khan, $150 - $199",19.53,65.58,14.89,0,55000,11000,36000,8500,0,All OS,Changwat Prachuap Khiri Khan,$150 - $199,Device,Province
"Changwat Prachuap Khiri Khan, $200 - $249",21.34,63.55,15.11,0,37000,7700,24000,5900,0,All OS,Changwat Prachuap Khiri Khan,$200 - $249,Device,Province
"Changwat Prachuap Khiri Khan, $250 - $299",20.16,65.86,13.99,0,34000,6800,22000,5000,0,All OS,Changwat Prachuap Khiri Khan,$250 - $299,Device,Province
"Changwat Prachuap Khiri Khan, $300 - $399",23.55,62.35,14.1,0,44000,11000,28000,6600,0,All OS,Changwat Prachuap Khiri Khan,$300 - $399,Device,Province
"Changwat Prachuap Khiri Khan, $400 - $599",26.59,58.43,14.99,0,49000,14000,30000,7600,0,All OS,Changwat Prachuap Khiri Khan,$400 - $599,Device,Province
"Changwat Prachuap Khiri Khan, $600 - $999",27.8,57.58,14.62,0,66000,19000,39000,9800,0,All OS,Changwat Prachuap Khiri Khan,$600 - $999,Device,Province
"Changwat Amnat Charoen, Price unknown",38.04,47.26,14.7,0,6900,2600,3300,1000,0,All OS,Changwat Amnat Charoen,Price unknown,Device,Province
"Changwat Amnat Charoen, $1,000 or more",42.15,42.54,15.31,0,24000,11000,11000,3800,0,All OS,Changwat Amnat Charoen,"$1,000 or more",Device,Province
"Changwat Amnat Charoen, Less than $100",32.68,53.58,13.74,0,15000,4800,8800,2000,0,All OS,Changwat Amnat Charoen,Less than $100,Device,Province
"Changwat Amnat Charoen, $100 - $149",33.59,53.7,12.7,0,38000,13000,21000,4900,0,All OS,Changwat Amnat Charoen,$100 - $149,Device,Province
"Changwat Amnat Charoen, $150 - $199",37.24,49.61,13.14,0,30000,11000,16000,4000,0,All OS,Changwat Amnat Charoen,$150 - $199,Device,Province
"Changwat Amnat Charoen, $200 - $249",37.57,47.89,14.54,0,21000,8200,10000,3100,0,All OS,Changwat Amnat Charoen,$200 - $249,Device,Province
"Changwat Amnat Charoen, $250 - $299",33.61,53.67,12.72,0,15000,5400,8000,2100,0,All OS,Changwat Amnat Charoen,$250 - $299,Device,Province
"Changwat Amnat Charoen, $300 - $399",35.86,49,15.13,0,21000,7400,11000,3100,0,All OS,Changwat Amnat Charoen,$300 - $399,Device,Province
"Changwat Amnat Charoen, $400 - $599",37.2,46.57,16.22,0,20000,7900,9400,3400,0,All OS,Changwat Amnat Charoen,$400 - $599,Device,Province
"Changwat Amnat Charoen, $600 - $999",43.3,42.85,13.85,0,25000,12000,11000,3800,0,All OS,Changwat Amnat Charoen,$600 - $999,Device,Province
"Changwat Chiang Rai, Price unknown",37.74,41.54,20.71,0,34000,13000,14000,7200,0,All OS,Changwat Chiang Rai,Price unknown,Device,Province
"Changwat Chiang Rai, $1,000 or more",38.2,44,17.8,0,202000,81000,91000,38000,0,All OS,Changwat Chiang Rai,"$1,000 or more",Device,Province
"Changwat Chiang Rai, Less than $100",28.86,51.74,19.4,0,41000,12000,22000,8100,0,All OS,Changwat Chiang Rai,Less than $100,Device,Province
"Changwat Chiang Rai, $100 - $149",29.06,50.89,20.05,0,142000,42000,73000,29000,0,All OS,Changwat Chiang Rai,$100 - $149,Device,Province
"Changwat Chiang Rai, $150 - $199",30.55,47.51,21.95,0,116000,35000,57000,26000,0,All OS,Changwat Chiang Rai,$150 - $199,Device,Province
"Changwat Chiang Rai, $200 - $249",32.2,44.55,23.24,0,82000,27000,37000,19000,0,All OS,Changwat Chiang Rai,$200 - $249,Device,Province
"Changwat Chiang Rai, $250 - $299",32.1,45.35,22.55,0,76000,25000,35000,17000,0,All OS,Changwat Chiang Rai,$250 - $299,Device,Province
"Changwat Chiang Rai, $300 - $399",33.81,44.75,21.44,0,103000,35000,47000,22000,0,All OS,Changwat Chiang Rai,$300 - $399,Device,Province
"Changwat Chiang Rai, $400 - $599",37.21,42.74,20.05,0,104000,40000,45000,22000,0,All OS,Changwat Chiang Rai,$400 - $599,Device,Province
"Changwat Chiang Rai, $600 - $999",38.05,41.64,20.31,0,132000,53000,57000,28000,0,All OS,Changwat Chiang Rai,$600 - $999,Device,Province
"Changwat Narathiwat, Price unknown",22.44,60.43,17.13,0,16000,3800,10000,3000,0,All OS,Changwat Narathiwat,Price unknown,Device,Province
"Changwat Narathiwat, $1,000 or more",22.04,60.35,17.61,0,71000,16000,44000,13000,0,All OS,Changwat Narathiwat,"$1,000 or more",Device,Province
"Changwat Narathiwat, Less than $100",18.54,66.79,14.67,0,28000,5600,18000,4400,0,All OS,Changwat Narathiwat,Less than $100,Device,Province
"Changwat Narathiwat, $100 - $149",17.53,66.68,15.79,0,88000,17000,59000,14000,0,All OS,Changwat Narathiwat,$100 - $149,Device,Province
"Changwat Narathiwat, $150 - $199",19.84,65.57,14.59,0,64000,13000,43000,9900,0,All OS,Changwat Narathiwat,$150 - $199,Device,Province
"Changwat Narathiwat, $200 - $249",20.33,62.48,17.19,0,39000,7800,25000,6700,0,All OS,Changwat Narathiwat,$200 - $249,Device,Province
"Changwat Narathiwat, $250 - $299",20.47,63.38,16.16,0,33000,7200,22000,5400,0,All OS,Changwat Narathiwat,$250 - $299,Device,Province
"Changwat Narathiwat, $300 - $399",20.18,63.76,16.07,0,39000,7800,25000,6300,0,All OS,Changwat Narathiwat,$300 - $399,Device,Province
"Changwat Narathiwat, $400 - $599",21.71,61.74,16.55,0,47000,11000,30000,8000,0,All OS,Changwat Narathiwat,$400 - $599,Device,Province
"Changwat Narathiwat, $600 - $999",21.66,61.74,16.6,0,64000,14000,42000,11000,0,All OS,Changwat Narathiwat,$600 - $999,Device,Province
"Changwat Kalasin, Price unknown",41.27,51.25,7.47,0,20000,8500,11000,1500,0,All OS,Changwat Kalasin,Price unknown,Device,Province
"Changwat Kalasin, $1,000 or more",42.08,49.03,8.9,0,73000,31000,36000,6600,0,All OS,Changwat Kalasin,"$1,000 or more",Device,Province
"Changwat Kalasin, Less than $100",32.8,60.91,6.29,0,36000,12000,23000,2400,0,All OS,Changwat Kalasin,Less than $100,Device,Province
"Changwat Kalasin, $100 - $149",32.81,60.13,7.05,0,105000,35000,64000,7500,0,All OS,Changwat Kalasin,$100 - $149,Device,Province
"Changwat Kalasin, $150 - $199",34.12,58.51,7.37,0,80000,28000,48000,5900,0,All OS,Changwat Kalasin,$150 - $199,Device,Province
"Changwat Kalasin, $200 - $249",35.83,55.57,8.6,0,52000,20000,30000,4800,0,All OS,Changwat Kalasin,$200 - $249,Device,Province
"Changwat Kalasin, $250 - $299",33.63,57.85,8.52,0,41000,14000,24000,3600,0,All OS,Changwat Kalasin,$250 - $299,Device,Province
"Changwat Kalasin, $300 - $399",35.43,56.23,8.34,0,55000,20000,32000,5000,0,All OS,Changwat Kalasin,$300 - $399,Device,Province
"Changwat Kalasin, $400 - $599",38.42,52.76,8.82,0,55000,22000,30000,4900,100,All OS,Changwat Kalasin,$400 - $599,Device,Province
"Changwat Kalasin, $600 - $999",42.19,48.93,8.88,0,69000,30000,36000,6200,0,All OS,Changwat Kalasin,$600 - $999,Device,Province
"Changwat Sakon Nakhon, Price unknown",33.02,61.64,5.34,0,27000,9400,18000,1600,0,All OS,Changwat Sakon Nakhon,Price unknown,Device,Province
"Changwat Sakon Nakhon, $1,000 or more",39.51,53.07,7.42,0,92000,37000,50000,7200,0,All OS,Changwat Sakon Nakhon,"$1,000 or more",Device,Province
"Changwat Sakon Nakhon, Less than $100",23.53,72.85,3.62,0,46000,11000,34000,1800,0,All OS,Changwat Sakon Nakhon,Less than $100,Device,Province
"Changwat Sakon Nakhon, $100 - $149",26.03,69.43,4.55,0,133000,35000,95000,6200,0,All OS,Changwat Sakon Nakhon,$100 - $149,Device,Province
"Changwat Sakon Nakhon, $150 - $199",26.96,68.4,4.64,0,97000,27000,68000,4600,0,All OS,Changwat Sakon Nakhon,$150 - $199,Device,Province
"Changwat Sakon Nakhon, $200 - $249",29,65.32,5.67,0,67000,20000,44000,3800,0,All OS,Changwat Sakon Nakhon,$200 - $249,Device,Province
"Changwat Sakon Nakhon, $250 - $299",27.41,66.99,5.6,0,54000,15000,36000,3100,0,All OS,Changwat Sakon Nakhon,$250 - $299,Device,Province
"Changwat Sakon Nakhon, $300 - $399",30.95,62.84,6.21,0,67000,21000,43000,4200,0,All OS,Changwat Sakon Nakhon,$300 - $399,Device,Province
"Changwat Sakon Nakhon, $400 - $599",34.22,59.56,6.22,0,69000,25000,42000,4500,0,All OS,Changwat Sakon Nakhon,$400 - $599,Device,Province
"Changwat Sakon Nakhon, $600 - $999",36.83,55.94,7.23,0,85000,34000,51000,6500,0,All OS,Changwat Sakon Nakhon,$600 - $999,Device,Province
"Changwat Ubon Ratchathani, Price unknown",32.19,39.98,27.83,0,47000,16000,20000,14000,0,All OS,Changwat Ubon Ratchathani,Price unknown,Device,Province
"Changwat Ubon Ratchathani, $1,000 or more",35.04,39.12,25.84,0,189000,68000,75000,52000,0,All OS,Changwat Ubon Ratchathani,"$1,000 or more",Device,Province
"Changwat Ubon Ratchathani, Less than $100",27.56,47.42,25.01,0,86000,25000,43000,22000,0,All OS,Changwat Ubon Ratchathani,Less than $100,Device,Province
"Changwat Ubon Ratchathani, $100 - $149",28.63,45.26,26.1,0,251000,74000,117000,67000,0,All OS,Changwat Ubon Ratchathani,$100 - $149,Device,Province
"Changwat Ubon Ratchathani, $150 - $199",29.77,44,26.24,0,177000,54000,79000,47000,0,All OS,Changwat Ubon Ratchathani,$150 - $199,Device,Province
"Changwat Ubon Ratchathani, $200 - $249",29.61,43.34,27.05,0,120000,37000,54000,33000,0,All OS,Changwat Ubon Ratchathani,$200 - $249,Device,Province
"Changwat Ubon Ratchathani, $250 - $299",28.62,43.9,27.49,0,96000,29000,43000,27000,0,All OS,Changwat Ubon Ratchathani,$250 - $299,Device,Province
"Changwat Ubon Ratchathani, $300 - $399",30.68,41.96,27.36,0,124000,39000,54000,35000,0,All OS,Changwat Ubon Ratchathani,$300 - $399,Device,Province
"Changwat Ubon Ratchathani, $400 - $599",33.29,40.76,25.95,0,134000,45000,57000,35000,0,All OS,Changwat Ubon Ratchathani,$400 - $599,Device,Province
"Changwat Ubon Ratchathani, $600 - $999",34.59,38.04,27.38,0,176000,64000,71000,51000,0,All OS,Changwat Ubon Ratchathani,$600 - $999,Device,Province
"Changwat Mukdahan, Price unknown",45.16,47.81,7.03,0,9000,3900,4100,680,0,All OS,Changwat Mukdahan,Price unknown,Device,Province
"Changwat Mukdahan, $1,000 or more",47.29,43.65,9.06,0,36000,17000,16000,3300,0,All OS,Changwat Mukdahan,"$1,000 or more",Device,Province
"Changwat Mukdahan, Less than $100",35.57,57.84,6.59,0,16000,5800,9100,1000,0,All OS,Changwat Mukdahan,Less than $100,Device,Province
"Changwat Mukdahan, $100 - $149",37.76,54.65,7.59,0,49000,19000,27000,3900,0,All OS,Changwat Mukdahan,$100 - $149,Device,Province
"Changwat Mukdahan, $150 - $199",38,54.12,7.88,0,38000,15000,21000,3000,0,All OS,Changwat Mukdahan,$150 - $199,Device,Province
"Changwat Mukdahan, $200 - $249",39.13,52.21,8.67,0,26000,11000,14000,2300,0,All OS,Changwat Mukdahan,$200 - $249,Device,Province
"Changwat Mukdahan, $250 - $299",37.05,54.78,8.17,0,21000,7800,11000,1700,0,All OS,Changwat Mukdahan,$250 - $299,Device,Province
"Changwat Mukdahan, $300 - $399",39.38,51.45,9.17,0,25000,10000,14000,2500,0,All OS,Changwat Mukdahan,$300 - $399,Device,Province
"Changwat Mukdahan, $400 - $599",43.22,46.84,9.94,0,27000,12000,13000,2800,110,All OS,Changwat Mukdahan,$400 - $599,Device,Province
"Changwat Mukdahan, $600 - $999",46.51,44.27,9.22,0,33000,17000,15000,3100,0,All OS,Changwat Mukdahan,$600 - $999,Device,Province
"Changwat Chachoengsao, Price unknown",36.04,40.66,23.3,0,24000,9100,9900,6000,0,All OS,Changwat Chachoengsao,Price unknown,Device,Province
"Changwat Chachoengsao, $1,000 or more",32.73,46.93,20.34,0,168000,56000,81000,35000,0,All OS,Changwat Chachoengsao,"$1,000 or more",Device,Province
"Changwat Chachoengsao, Less than $100",25.39,48.26,26.36,0,28000,7100,14000,7200,0,All OS,Changwat Chachoengsao,Less than $100,Device,Province
"Changwat Chachoengsao, $100 - $149",27.01,47.5,25.49,0,95000,27000,45000,25000,0,All OS,Changwat Chachoengsao,$100 - $149,Device,Province
"Changwat Chachoengsao, $150 - $199",26.59,47.1,26.31,0,85000,23000,41000,23000,0,All OS,Changwat Chachoengsao,$150 - $199,Device,Province
"Changwat Chachoengsao, $200 - $249",27.32,45.58,27.11,0,62000,18000,29000,17000,0,All OS,Changwat Chachoengsao,$200 - $249,Device,Province
"Changwat Chachoengsao, $250 - $299",27.45,47.42,25.13,0,57000,16000,28000,14000,0,All OS,Changwat Chachoengsao,$250 - $299,Device,Province
"Changwat Chachoengsao, $300 - $399",29.8,46.32,23.87,0,82000,25000,39000,20000,0,All OS,Changwat Chachoengsao,$300 - $399,Device,Province
"Changwat Chachoengsao, $400 - $599",30.95,46.21,22.84,0,86000,27000,41000,20000,0,All OS,Changwat Chachoengsao,$400 - $599,Device,Province
"Changwat Chachoengsao, $600 - $999",32.56,45.45,21.99,0,112000,37000,52000,26000,0,All OS,Changwat Chachoengsao,$600 - $999,Device,Province
"Changwat Saraburi, Price unknown",33.92,51.2,14.88,0,22000,8000,11000,3400,0,All OS,Changwat Saraburi,Price unknown,Device,Province
"Changwat Saraburi, $1,000 or more",33.27,54.5,12.23,0,146000,50000,81000,18000,0,All OS,Changwat Saraburi,"$1,000 or more",Device,Province
"Changwat Saraburi, Less than $100",26.43,58.64,14.93,0,26000,7000,15000,4000,0,All OS,Changwat Saraburi,Less than $100,Device,Province
"Changwat Saraburi, $100 - $149",25.83,58.17,16,0,85000,23000,50000,14000,0,All OS,Changwat Saraburi,$100 - $149,Device,Province
"Changwat Saraburi, $150 - $199",26.83,57.22,15.95,0,81000,23000,45000,13000,100,All OS,Changwat Saraburi,$150 - $199,Device,Province
"Changwat Saraburi, $200 - $249",28.39,56.21,15.41,0,60000,18000,35000,9800,0,All OS,Changwat Saraburi,$200 - $249,Device,Province
"Changwat Saraburi, $250 - $299",25.93,58.76,15.31,0,58000,15000,35000,8800,0,All OS,Changwat Saraburi,$250 - $299,Device,Province
"Changwat Saraburi, $300 - $399",28.96,55.87,15.17,0,78000,23000,45000,12000,0,All OS,Changwat Saraburi,$300 - $399,Device,Province
"Changwat Saraburi, $400 - $599",30.89,55.3,13.8,0,88000,28000,50000,13000,0,All OS,Changwat Saraburi,$400 - $599,Device,Province
"Changwat Saraburi, $600 - $999",32.59,54.4,13.01,0,101000,34000,57000,14000,0,All OS,Changwat Saraburi,$600 - $999,Device,Province
"Changwat Chaiyaphum, Price unknown",34.51,53.98,11.5,0,22000,7900,12000,2600,0,All OS,Changwat Chaiyaphum,Price unknown,Device,Province
"Changwat Chaiyaphum, $1,000 or more",37.71,51.43,10.86,0,86000,34000,46000,10000,0,All OS,Changwat Chaiyaphum,"$1,000 or more",Device,Province
"Changwat Chaiyaphum, Less than $100",26.75,64.45,8.8,0,43000,12000,28000,3800,0,All OS,Changwat Chaiyaphum,Less than $100,Device,Province
"Changwat Chaiyaphum, $100 - $149",27.48,63.57,8.95,0,124000,34000,80000,11000,0,All OS,Changwat Chaiyaphum,$100 - $149,Device,Province
"Changwat Chaiyaphum, $150 - $199",28.41,61.9,9.69,0,94000,28000,58000,9300,0,All OS,Changwat Chaiyaphum,$150 - $199,Device,Province
"Changwat Chaiyaphum, $200 - $249",31.47,58.3,10.23,0,64000,21000,38000,6800,0,All OS,Changwat Chaiyaphum,$200 - $249,Device,Province
"Changwat Chaiyaphum, $250 - $299",28.54,61.33,10.13,0,55000,16000,33000,5700,0,All OS,Changwat Chaiyaphum,$250 - $299,Device,Province
"Changwat Chaiyaphum, $300 - $399",31.3,57.67,11.02,0,67000,21000,39000,7400,0,All OS,Changwat Chaiyaphum,$300 - $399,Device,Province
"Changwat Chaiyaphum, $400 - $599",35.97,53.65,10.38,0,75000,28000,42000,7700,0,All OS,Changwat Chaiyaphum,$400 - $599,Device,Province
"Changwat Chaiyaphum, $600 - $999",37.87,50.84,11.29,0,79000,32000,42000,8800,0,All OS,Changwat Chaiyaphum,$600 - $999,Device,Province
"Changwat Uttaradit, Price unknown",38.45,49.96,11.6,0,11000,4500,5700,1400,0,All OS,Changwat Uttaradit,Price unknown,Device,Province
"Changwat Uttaradit, $1,000 or more",38.76,49.78,11.46,0,48000,19000,25000,5500,0,All OS,Changwat Uttaradit,"$1,000 or more",Device,Province
"Changwat Uttaradit, Less than $100",31.06,59.24,9.7,0,15000,4700,9000,1500,0,All OS,Changwat Uttaradit,Less than $100,Device,Province
"Changwat Uttaradit, $100 - $149",31.04,56.91,12.05,0,46000,14000,26000,5700,0,All OS,Changwat Uttaradit,$100 - $149,Device,Province
"Changwat Uttaradit, $150 - $199",32.73,56.03,11.24,0,40000,13000,23000,4600,0,All OS,Changwat Uttaradit,$150 - $199,Device,Province
"Changwat Uttaradit, $200 - $249",32.3,53.42,14.28,0,27000,8900,15000,3900,0,All OS,Changwat Uttaradit,$200 - $249,Device,Province
"Changwat Uttaradit, $250 - $299",31.65,54.69,13.66,0,26000,8300,14000,3600,110,All OS,Changwat Uttaradit,$250 - $299,Device,Province
"Changwat Uttaradit, $300 - $399",33.71,52.83,13.46,0,31000,11000,18000,4300,0,All OS,Changwat Uttaradit,$300 - $399,Device,Province
"Changwat Uttaradit, $400 - $599",36.44,50.69,12.88,0,34000,13000,18000,4600,0,All OS,Changwat Uttaradit,$400 - $599,Device,Province
"Changwat Uttaradit, $600 - $999",39.42,47.83,12.75,0,41000,17000,20000,5700,0,All OS,Changwat Uttaradit,$600 - $999,Device,Province
"Changwat Ang Thong, Price unknown",33,51.78,15.22,0,6800,2300,3700,1100,0,All OS,Changwat Ang Thong,Price unknown,Device,Province
"Changwat Ang Thong, $1,000 or more",29.64,56.46,13.9,0,38000,12000,23000,5400,0,All OS,Changwat Ang Thong,"$1,000 or more",Device,Province
"Changwat Ang Thong, Less than $100",22.4,60.39,17.21,0,8000,1900,5100,1500,0,All OS,Changwat Ang Thong,Less than $100,Device,Province
"Changwat Ang Thong, $100 - $149",20.86,62.79,16.35,0,26000,5800,18000,4500,0,All OS,Changwat Ang Thong,$100 - $149,Device,Province
"Changwat Ang Thong, $150 - $199",24.75,59.61,15.64,0,25000,6300,15000,4100,0,All OS,Changwat Ang Thong,$150 - $199,Device,Province
"Changwat Ang Thong, $200 - $249",22.25,59.51,18.24,0,18000,4000,11000,3300,0,All OS,Changwat Ang Thong,$200 - $249,Device,Province
"Changwat Ang Thong, $250 - $299",23.28,60.86,15.86,0,17000,4000,10000,2700,0,All OS,Changwat Ang Thong,$250 - $299,Device,Province
"Changwat Ang Thong, $300 - $399",26.46,57.27,16.27,0,23000,6300,14000,3900,0,All OS,Changwat Ang Thong,$300 - $399,Device,Province
"Changwat Ang Thong, $400 - $599",27.7,57,15.29,0,25000,7300,15000,3800,0,All OS,Changwat Ang Thong,$400 - $599,Device,Province
"Changwat Ang Thong, $600 - $999",30.14,55.64,14.23,0,28000,9000,17000,4400,0,All OS,Changwat Ang Thong,$600 - $999,Device,Province
"Changwat Pattani, Price unknown",23.28,60.15,16.56,0,20000,4800,13000,3600,0,All OS,Changwat Pattani,Price unknown,Device,Province
"Changwat Pattani, $1,000 or more",20.85,64.13,15.01,0,93000,19000,61000,14000,0,All OS,Changwat Pattani,"$1,000 or more",Device,Province
"Changwat Pattani, Less than $100",14.93,71.44,13.63,0,34000,5100,25000,4900,0,All OS,Changwat Pattani,Less than $100,Device,Province
"Changwat Pattani, $100 - $149",15.39,71.23,13.37,0,104000,16000,76000,14000,0,All OS,Changwat Pattani,$100 - $149,Device,Province
"Changwat Pattani, $150 - $199",16.65,69.82,13.54,0,73000,12000,52000,11000,0,All OS,Changwat Pattani,$150 - $199,Device,Province
"Changwat Pattani, $200 - $249",18.22,66.98,14.8,0,46000,8800,32000,7000,0,All OS,Changwat Pattani,$200 - $249,Device,Province
"Changwat Pattani, $250 - $299",18.38,66.67,14.94,0,40000,7000,27000,5900,0,All OS,Changwat Pattani,$250 - $299,Device,Province
"Changwat Pattani, $300 - $399",20.47,64.23,15.3,0,50000,10000,33000,7900,0,All OS,Changwat Pattani,$300 - $399,Device,Province
"Changwat Pattani, $400 - $599",21.55,62.74,15.7,0,56000,12000,36000,9100,0,All OS,Changwat Pattani,$400 - $599,Device,Province
"Changwat Pattani, $600 - $999",20.87,63.7,15.42,0,82000,17000,54000,13000,0,All OS,Changwat Pattani,$600 - $999,Device,Province
"Changwat Phayao, Price unknown",34.48,53.9,11.62,0,13000,4700,7300,1600,0,All OS,Changwat Phayao,Price unknown,Device,Province
"Changwat Phayao, $1,000 or more",36.7,51.44,11.87,0,55000,21000,30000,6700,0,All OS,Changwat Phayao,"$1,000 or more",Device,Province
"Changwat Phayao, Less than $100",26.28,64.27,9.44,0,13000,3500,8600,1400,0,All OS,Changwat Phayao,Less than $100,Device,Province
"Changwat Phayao, $100 - $149",27.09,63.05,9.86,0,46000,13000,30000,4400,0,All OS,Changwat Phayao,$100 - $149,Device,Province
"Changwat Phayao, $150 - $199",28.01,61.08,10.91,0,40000,11000,25000,4300,0,All OS,Changwat Phayao,$150 - $199,Device,Province
"Changwat Phayao, $200 - $249",29.9,57.4,12.7,0,27000,8300,16000,3600,0,All OS,Changwat Phayao,$200 - $249,Device,Province
"Changwat Phayao, $250 - $299",28.15,58.63,13.22,0,27000,7700,16000,3600,0,All OS,Changwat Phayao,$250 - $299,Device,Province
"Changwat Phayao, $300 - $399",33.09,54.64,12.27,0,35000,12000,19000,4300,0,All OS,Changwat Phayao,$300 - $399,Device,Province
"Changwat Phayao, $400 - $599",37.67,49.38,12.95,0,40000,16000,20000,5400,0,All OS,Changwat Phayao,$400 - $599,Device,Province
"Changwat Phayao, $600 - $999",38.27,49.14,12.59,0,46000,18000,23000,6100,0,All OS,Changwat Phayao,$600 - $999,Device,Province
"Changwat Maha Sarakham, Price unknown",37.03,49.84,13.13,0,26000,11000,14000,3500,0,All OS,Changwat Maha Sarakham,Price unknown,Device,Province
"Changwat Maha Sarakham, $1,000 or more",40.33,45.17,14.49,0,105000,44000,49000,16000,0,All OS,Changwat Maha Sarakham,"$1,000 or more",Device,Province
"Changwat Maha Sarakham, Less than $100",27,61.11,11.89,0,37000,9800,23000,4400,0,All OS,Changwat Maha Sarakham,Less than $100,Device,Province
"Changwat Maha Sarakham, $100 - $149",29.64,57.96,12.39,0,110000,34000,65000,14000,0,All OS,Changwat Maha Sarakham,$100 - $149,Device,Province
"Changwat Maha Sarakham, $150 - $199",30.48,56.29,13.23,0,83000,26000,48000,11000,0,All OS,Changwat Maha Sarakham,$150 - $199,Device,Province
"Changwat Maha Sarakham, $200 - $249",32.67,54.15,13.17,0,58000,20000,33000,8000,0,All OS,Changwat Maha Sarakham,$200 - $249,Device,Province
"Changwat Maha Sarakham, $250 - $299",29.92,55.93,14.14,0,48000,14000,27000,6700,0,All OS,Changwat Maha Sarakham,$250 - $299,Device,Province
"Changwat Maha Sarakham, $300 - $399",32.68,52.38,14.94,0,65000,22000,36000,9900,0,All OS,Changwat Maha Sarakham,$300 - $399,Device,Province
"Changwat Maha Sarakham, $400 - $599",37.46,47.52,15.02,0,77000,31000,38000,12000,0,All OS,Changwat Maha Sarakham,$400 - $599,Device,Province
"Changwat Maha Sarakham, $600 - $999",40.57,45.74,13.69,0,100000,43000,49000,15000,0,All OS,Changwat Maha Sarakham,$600 - $999,Device,Province
"Changwat Udon Thani, Price unknown",34.85,54.99,10.17,0,34000,13000,20000,3600,110,All OS,Changwat Udon Thani,Price unknown,Device,Province
"Changwat Udon Thani, $1,000 or more",36.37,52.22,11.41,0,178000,66000,95000,20000,0,All OS,Changwat Udon Thani,"$1,000 or more",Device,Province
"Changwat Udon Thani, Less than $100",24.67,67.74,7.58,0,54000,13000,37000,4200,0,All OS,Changwat Udon Thani,Less than $100,Device,Province
"Changwat Udon Thani, $100 - $149",25.74,66.07,8.19,0,161000,43000,109000,14000,0,All OS,Changwat Udon Thani,$100 - $149,Device,Province
"Changwat Udon Thani, $150 - $199",26.29,64.92,8.79,0,134000,37000,89000,12000,0,All OS,Changwat Udon Thani,$150 - $199,Device,Province
"Changwat Udon Thani, $200 - $249",28.1,61.73,10.18,0,94000,26000,58000,9900,0,All OS,Changwat Udon Thani,$200 - $249,Device,Province
"Changwat Udon Thani, $250 - $299",26.25,63.88,9.87,0,83000,21000,54000,8000,0,All OS,Changwat Udon Thani,$250 - $299,Device,Province
"Changwat Udon Thani, $300 - $399",29.68,58.86,11.45,0,103000,31000,62000,12000,0,All OS,Changwat Udon Thani,$300 - $399,Device,Province
"Changwat Udon Thani, $400 - $599",32.53,57.33,10.14,0,115000,39000,67000,12000,0,All OS,Changwat Udon Thani,$400 - $599,Device,Province
"Changwat Udon Thani, $600 - $999",35.46,53.13,11.41,0,139000,51000,77000,16000,0,All OS,Changwat Udon Thani,$600 - $999,Device,Province
