Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,AREA_META,Category,Metric,Area_type
"Amphoe Sap Yai, Changwat Chaiyaphum, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Sap Yai, Changwat Chaiyaphum",2G,Connection,District
"Amphoe Sap Yai, Changwat Chaiyaphum, 3G",0,100,0,0,240,0,280,0,0,"Amphoe Sap Yai, Changwat Chaiyaphum",3G,Connection,District
"Amphoe Sap Yai, Changwat Chaiyaphum, 4G",23.75,72.06,4.19,0,4700,1200,3500,130,0,"Amphoe Sap Yai, Changwat Chaiyaphum",4G,Connection,District
"Amphoe Sap Yai, Changwat Chaiyaphum, 5G",41.88,50.63,7.5,0,1500,610,830,0,0,"Amphoe Sap Yai, Changwat Chaiyaphum",5G,Connection,District
"Amphoe Mae Taeng, Changwat Chiang Mai, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Mae Taeng, Changwat Chiang Mai",2G,Connection,District
"Amphoe Mae Taeng, Changwat Chiang Mai, 3G",0,67.05,32.95,0,940,100,640,130,0,"Amphoe Mae Taeng, Changwat Chiang Mai",3G,Connection,District
"Amphoe Mae Taeng, Changwat Chiang Mai, 4G",24.84,57.75,17.41,0,25000,6500,15000,4600,0,"Amphoe Mae Taeng, Changwat Chiang Mai",4G,Connection,District
"Amphoe Mae Taeng, Changwat Chiang Mai, 5G",35.38,50,14.62,0,11000,3900,5500,1600,0,"Amphoe Mae Taeng, Changwat Chiang Mai",5G,Connection,District
"Amphoe Mueang Suang, Changwat Roi Et, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Mueang Suang, Changwat Roi Et",2G,Connection,District
"Amphoe Mueang Suang, Changwat Roi Et, 3G",40,60,0,0,160,100,200,0,0,"Amphoe Mueang Suang, Changwat Roi Et",3G,Connection,District
"Amphoe Mueang Suang, Changwat Roi Et, 4G",30.16,62.48,7.36,0,6600,2100,4400,360,0,"Amphoe Mueang Suang, Changwat Roi Et",4G,Connection,District
"Amphoe Mueang Suang, Changwat Roi Et, 5G",43.83,56.17,0,0,1700,790,910,0,0,"Amphoe Mueang Suang, Changwat Roi Et",5G,Connection,District
"Chatuchak, Bangkok, 2G",0,0,100,0,160,0,0,0,0,"Chatuchak, Bangkok",2G,Connection,District
"Chatuchak, Bangkok, 3G",26.42,38.62,34.96,0,7200,2000,2800,2500,0,"Chatuchak, Bangkok",3G,Connection,District
"Chatuchak, Bangkok, 4G",29.87,30.3,39.83,0,262000,82000,82000,108000,0,"Chatuchak, Bangkok",4G,Connection,District
"Chatuchak, Bangkok, 5G",34.7,46.69,18.62,0,208000,77000,102000,41000,0,"Chatuchak, Bangkok",5G,Connection,District
"Amphoe Kut Bak, Changwat Sakon Nakhon, 3G",0,100,0,0,510,190,430,0,0,"Amphoe Kut Bak, Changwat Sakon Nakhon",3G,Connection,District
"Amphoe Kut Bak, Changwat Sakon Nakhon, 4G",21.46,73.53,5.01,0,8900,2000,6600,370,0,"Amphoe Kut Bak, Changwat Sakon Nakhon",4G,Connection,District
"Amphoe Kut Bak, Changwat Sakon Nakhon, 5G",43.13,45.63,11.25,0,1500,730,720,0,0,"Amphoe Kut Bak, Changwat Sakon Nakhon",5G,Connection,District
"Amphoe Mueang Samut Prakan, Changwat Samut Prakan, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Mueang Samut Prakan, Changwat Samut Prakan",2G,Connection,District
"Amphoe Mueang Samut Prakan, Changwat Samut Prakan, 3G",26.25,55.78,17.97,0,6100,1700,3600,1100,0,"Amphoe Mueang Samut Prakan, Changwat Samut Prakan",3G,Connection,District
"Amphoe Mueang Samut Prakan, Changwat Samut Prakan, 4G",33.94,43.15,22.87,0.04,292000,103000,131000,69000,0,"Amphoe Mueang Samut Prakan, Changwat Samut Prakan",4G,Connection,District
"Amphoe Mueang Samut Prakan, Changwat Samut Prakan, 5G",38.18,46.36,15.46,0,249000,100000,120000,40000,0,"Amphoe Mueang Samut Prakan, Changwat Samut Prakan",5G,Connection,District
"Amphoe Chiang Khong, Changwat Chiang Rai, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Chiang Khong, Changwat Chiang Rai",2G,Connection,District
"Amphoe Chiang Khong, Changwat Chiang Rai, 3G",15.38,84.62,0,0,950,140,860,0,0,"Amphoe Chiang Khong, Changwat Chiang Rai",3G,Connection,District
"Amphoe Chiang Khong, Changwat Chiang Rai, 4G",25.23,52.02,22.75,0,21000,5500,11000,5300,0,"Amphoe Chiang Khong, Changwat Chiang Rai",4G,Connection,District
"Amphoe Chiang Khong, Changwat Chiang Rai, 5G",40,42.31,17.69,0,9200,3900,4100,1800,0,"Amphoe Chiang Khong, Changwat Chiang Rai",5G,Connection,District
"Amphoe Prakhon Chai, Changwat Buri Ram, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Prakhon Chai, Changwat Buri Ram",2G,Connection,District
"Amphoe Prakhon Chai, Changwat Buri Ram, 3G",25.81,62.37,11.83,0,810,180,570,100,0,"Amphoe Prakhon Chai, Changwat Buri Ram",3G,Connection,District
"Amphoe Prakhon Chai, Changwat Buri Ram, 4G",29.63,55.05,15.32,0,35000,11000,20000,5300,0,"Amphoe Prakhon Chai, Changwat Buri Ram",4G,Connection,District
"Amphoe Prakhon Chai, Changwat Buri Ram, 5G",41.48,47.47,11.05,0,12000,5300,6100,1500,0,"Amphoe Prakhon Chai, Changwat Buri Ram",5G,Connection,District
"Amphoe Pak Phli, Changwat Nakhon Nayok, 3G",44.44,55.56,0,0,350,0,160,0,0,"Amphoe Pak Phli, Changwat Nakhon Nayok",3G,Connection,District
"Amphoe Pak Phli, Changwat Nakhon Nayok, 4G",28.94,50.65,20.41,0,10000,3100,5400,2300,0,"Amphoe Pak Phli, Changwat Nakhon Nayok",4G,Connection,District
"Amphoe Pak Phli, Changwat Nakhon Nayok, 5G",42.45,42.86,14.69,0,4500,2000,2200,740,0,"Amphoe Pak Phli, Changwat Nakhon Nayok",5G,Connection,District
"Amphoe Non Din Daeng, Changwat Buri Ram, 3G",43.48,56.52,0,0,100,0,0,0,0,"Amphoe Non Din Daeng, Changwat Buri Ram",3G,Connection,District
"Amphoe Non Din Daeng, Changwat Buri Ram, 4G",27.58,65.61,6.82,0,6200,1900,4000,440,0,"Amphoe Non Din Daeng, Changwat Buri Ram",4G,Connection,District
"Amphoe Non Din Daeng, Changwat Buri Ram, 5G",43.06,56.94,0,0,2000,840,1200,160,0,"Amphoe Non Din Daeng, Changwat Buri Ram",5G,Connection,District
"Amphoe Khuan Don, Changwat Satun, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Khuan Don, Changwat Satun",2G,Connection,District
"Amphoe Khuan Don, Changwat Satun, 3G",0,45.83,54.17,0,350,0,280,100,0,"Amphoe Khuan Don, Changwat Satun",3G,Connection,District
"Amphoe Khuan Don, Changwat Satun, 4G",17.23,50.43,32.34,0,14000,2700,7500,4800,0,"Amphoe Khuan Don, Changwat Satun",4G,Connection,District
"Amphoe Khuan Don, Changwat Satun, 5G",25.63,50,24.37,0,4500,1200,2500,1300,0,"Amphoe Khuan Don, Changwat Satun",5G,Connection,District
"Amphoe Khukhan, Changwat Si Sa Ket, 2G",0,0,0,0,0,100,0,0,0,"Amphoe Khukhan, Changwat Si Sa Ket",2G,Connection,District
"Amphoe Khukhan, Changwat Si Sa Ket, 3G",19.05,64.29,16.67,0,1600,370,1200,330,0,"Amphoe Khukhan, Changwat Si Sa Ket",3G,Connection,District
"Amphoe Khukhan, Changwat Si Sa Ket, 4G",26.75,52.68,20.57,0,54000,15000,30000,12000,0,"Amphoe Khukhan, Changwat Si Sa Ket",4G,Connection,District
"Amphoe Khukhan, Changwat Si Sa Ket, 5G",38.43,43.42,18.14,0,14000,5700,6500,2600,0,"Amphoe Khukhan, Changwat Si Sa Ket",5G,Connection,District
"Amphoe Chaloem Phra Kiat, Changwat Saraburi, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Chaloem Phra Kiat, Changwat Saraburi",2G,Connection,District
"Amphoe Chaloem Phra Kiat, Changwat Saraburi, 3G",16.03,67.94,16.03,0,1400,240,910,170,0,"Amphoe Chaloem Phra Kiat, Changwat Saraburi",3G,Connection,District
"Amphoe Chaloem Phra Kiat, Changwat Saraburi, 4G",27.71,57.27,15.02,0,41000,12000,24000,6600,0,"Amphoe Chaloem Phra Kiat, Changwat Saraburi",4G,Connection,District
"Amphoe Chaloem Phra Kiat, Changwat Saraburi, 5G",38.77,47.98,13.25,0,21000,8400,10000,2800,0,"Amphoe Chaloem Phra Kiat, Changwat Saraburi",5G,Connection,District
"Amphoe Chumphon Buri, Changwat Surin, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Chumphon Buri, Changwat Surin",2G,Connection,District
"Amphoe Chumphon Buri, Changwat Surin, 3G",0,100,0,0,280,0,280,0,0,"Amphoe Chumphon Buri, Changwat Surin",3G,Connection,District
"Amphoe Chumphon Buri, Changwat Surin, 4G",27.94,66.83,5.22,0,17000,5100,12000,960,0,"Amphoe Chumphon Buri, Changwat Surin",4G,Connection,District
"Amphoe Chumphon Buri, Changwat Surin, 5G",44.95,46.02,9.03,0,4200,2000,2200,390,0,"Amphoe Chumphon Buri, Changwat Surin",5G,Connection,District
"Amphoe Bang Pla Ma, Changwat Suphan Buri, 3G",14.93,67.16,17.91,0,830,220,520,130,0,"Amphoe Bang Pla Ma, Changwat Suphan Buri",3G,Connection,District
"Amphoe Bang Pla Ma, Changwat Suphan Buri, 4G",25.01,56.91,18.08,0,22000,5300,12000,3800,0,"Amphoe Bang Pla Ma, Changwat Suphan Buri",4G,Connection,District
"Amphoe Bang Pla Ma, Changwat Suphan Buri, 5G",35.78,49.21,15.01,0,8900,3400,4700,1400,0,"Amphoe Bang Pla Ma, Changwat Suphan Buri",5G,Connection,District
"Amphoe Ban Luang, Changwat Nan, 2G",0,0,0,0,0,0,100,0,0,"Amphoe Ban Luang, Changwat Nan",2G,Connection,District
"Amphoe Ban Luang, Changwat Nan, 3G",100,0,0,0,130,0,0,0,0,"Amphoe Ban Luang, Changwat Nan",3G,Connection,District
"Amphoe Ban Luang, Changwat Nan, 4G",39.35,50.65,10,0,2900,1300,1400,330,0,"Amphoe Ban Luang, Changwat Nan",4G,Connection,District
"Amphoe Ban Luang, Changwat Nan, 5G",64.71,35.29,0,0,840,500,380,0,0,"Amphoe Ban Luang, Changwat Nan",5G,Connection,District
"Amphoe Mueang Udon Thani, Changwat Udon Thani, 2G",0,0,0,0,0,0,0,140,0,"Amphoe Mueang Udon Thani, Changwat Udon Thani",2G,Connection,District
"Amphoe Mueang Udon Thani, Changwat Udon Thani, 3G",26.68,63.14,10.17,0,7400,2000,4800,730,0,"Amphoe Mueang Udon Thani, Changwat Udon Thani",3G,Connection,District
"Amphoe Mueang Udon Thani, Changwat Udon Thani, 4G",29.9,57.41,12.69,0,279000,88000,169000,36000,0,"Amphoe Mueang Udon Thani, Changwat Udon Thani",4G,Connection,District
"Amphoe Mueang Udon Thani, Changwat Udon Thani, 5G",39.44,48.83,11.74,0,143000,60000,72000,18000,0,"Amphoe Mueang Udon Thani, Changwat Udon Thani",5G,Connection,District
"Amphoe Thap Sakae, Changwat Prachuap Khiri Khan, 3G",11.36,88.64,0,0,1400,100,1200,0,0,"Amphoe Thap Sakae, Changwat Prachuap Khiri Khan",3G,Connection,District
"Amphoe Thap Sakae, Changwat Prachuap Khiri Khan, 4G",13.23,78.24,8.52,0,23000,3100,19000,2000,0,"Amphoe Thap Sakae, Changwat Prachuap Khiri Khan",4G,Connection,District
"Amphoe Thap Sakae, Changwat Prachuap Khiri Khan, 5G",20.42,72.51,7.08,0,8100,1800,6300,630,0,"Amphoe Thap Sakae, Changwat Prachuap Khiri Khan",5G,Connection,District
"Amphoe Don Mot Daeng, Changwat Ubon Ratchathani, 3G",0,100,0,0,180,0,180,0,0,"Amphoe Don Mot Daeng, Changwat Ubon Ratchathani",3G,Connection,District
"Amphoe Don Mot Daeng, Changwat Ubon Ratchathani, 4G",34.54,40.23,25.24,0,5300,1800,2000,1400,0,"Amphoe Don Mot Daeng, Changwat Ubon Ratchathani",4G,Connection,District
"Amphoe Don Mot Daeng, Changwat Ubon Ratchathani, 5G",39.66,36.78,23.56,0,1500,650,590,250,0,"Amphoe Don Mot Daeng, Changwat Ubon Ratchathani",5G,Connection,District
"Amphoe Phang Khon, Changwat Sakon Nakhon, 2G",0,0,0,0,100,0,0,0,0,"Amphoe Phang Khon, Changwat Sakon Nakhon",2G,Connection,District
"Amphoe Phang Khon, Changwat Sakon Nakhon, 3G",25,75,0,0,520,160,410,0,0,"Amphoe Phang Khon, Changwat Sakon Nakhon",3G,Connection,District
"Amphoe Phang Khon, Changwat Sakon Nakhon, 4G",31.47,61.49,7.03,0,21000,7300,14000,1600,0,"Amphoe Phang Khon, Changwat Sakon Nakhon",4G,Connection,District
"Amphoe Phang Khon, Changwat Sakon Nakhon, 5G",48.04,46.59,5.36,0,8100,4100,4300,460,0,"Amphoe Phang Khon, Changwat Sakon Nakhon",5G,Connection,District
"Amphoe Mae Sai, Changwat Chiang Rai, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Mae Sai, Changwat Chiang Rai",2G,Connection,District
"Amphoe Mae Sai, Changwat Chiang Rai, 3G",17.46,54.76,27.78,0,1200,230,640,360,0,"Amphoe Mae Sai, Changwat Chiang Rai",3G,Connection,District
"Amphoe Mae Sai, Changwat Chiang Rai, 4G",22.61,31.92,45.47,0,36000,8400,11000,17000,0,"Amphoe Mae Sai, Changwat Chiang Rai",4G,Connection,District
"Amphoe Mae Sai, Changwat Chiang Rai, 5G",34.03,37.62,28.35,0,24000,8100,9500,7000,0,"Amphoe Mae Sai, Changwat Chiang Rai",5G,Connection,District
"Amphoe Kham Muang, Changwat Kalasin, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Kham Muang, Changwat Kalasin",2G,Connection,District
"Amphoe Kham Muang, Changwat Kalasin, 3G",30.77,69.23,0,0,280,0,270,0,0,"Amphoe Kham Muang, Changwat Kalasin",3G,Connection,District
"Amphoe Kham Muang, Changwat Kalasin, 4G",26.46,67.7,5.84,0,12000,3100,7900,640,0,"Amphoe Kham Muang, Changwat Kalasin",4G,Connection,District
"Amphoe Kham Muang, Changwat Kalasin, 5G",36.34,56.16,7.51,0,3100,1200,1800,230,0,"Amphoe Kham Muang, Changwat Kalasin",5G,Connection,District
"Amphoe Rattanawapi, Changwat Nong Khai, 2G",0,0,0,0,0,100,0,0,0,"Amphoe Rattanawapi, Changwat Nong Khai",2G,Connection,District
"Amphoe Rattanawapi, Changwat Nong Khai, 3G",20,58.57,21.43,0,530,0,270,0,0,"Amphoe Rattanawapi, Changwat Nong Khai",3G,Connection,District
"Amphoe Rattanawapi, Changwat Nong Khai, 4G",27.39,66.69,5.92,0,13000,4100,9800,750,0,"Amphoe Rattanawapi, Changwat Nong Khai",4G,Connection,District
"Amphoe Rattanawapi, Changwat Nong Khai, 5G",44.39,51.22,4.39,0,3800,1800,2100,210,0,"Amphoe Rattanawapi, Changwat Nong Khai",5G,Connection,District
"Amphoe Benchalak, Changwat Si Sa Ket, 3G",0,100,0,0,140,0,130,0,0,"Amphoe Benchalak, Changwat Si Sa Ket",3G,Connection,District
"Amphoe Benchalak, Changwat Si Sa Ket, 4G",34.79,42.62,22.6,0,9600,3400,4400,2200,0,"Amphoe Benchalak, Changwat Si Sa Ket",4G,Connection,District
"Amphoe Benchalak, Changwat Si Sa Ket, 5G",41.44,39.16,19.39,0,2400,1100,1000,500,0,"Amphoe Benchalak, Changwat Si Sa Ket",5G,Connection,District
"Amphoe Hot, Changwat Chiang Mai, 3G",17.24,82.76,0,0,480,0,430,0,0,"Amphoe Hot, Changwat Chiang Mai",3G,Connection,District
"Amphoe Hot, Changwat Chiang Mai, 4G",22.7,65.64,11.67,0,14000,3200,8900,1700,0,"Amphoe Hot, Changwat Chiang Mai",4G,Connection,District
"Amphoe Hot, Changwat Chiang Mai, 5G",34.47,54.85,10.68,0,4000,1300,2300,420,0,"Amphoe Hot, Changwat Chiang Mai",5G,Connection,District
"Amphoe Si Satchanalai, Changwat Sukhothai, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Si Satchanalai, Changwat Sukhothai",2G,Connection,District
"Amphoe Si Satchanalai, Changwat Sukhothai, 3G",24.79,65.29,9.92,0,1300,360,850,0,0,"Amphoe Si Satchanalai, Changwat Sukhothai",3G,Connection,District
"Amphoe Si Satchanalai, Changwat Sukhothai, 4G",43.89,45.58,10.54,0,33000,15000,16000,3600,0,"Amphoe Si Satchanalai, Changwat Sukhothai",4G,Connection,District
"Amphoe Si Satchanalai, Changwat Sukhothai, 5G",52.64,36.45,10.91,0,11000,5800,4100,1200,0,"Amphoe Si Satchanalai, Changwat Sukhothai",5G,Connection,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",2G,Connection,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, 3G",30.43,54.66,14.91,0,1500,390,900,0,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",3G,Connection,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, 4G",34.58,56.28,9.14,0,63000,23000,37000,6200,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",4G,Connection,District
"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom, 5G",49.08,41.86,9.05,0,25000,13000,11000,2500,0,"Amphoe Mueang Nakhon Phanom, Changwat Nakhon Phanom",5G,Connection,District
"Amphoe Bang Rakam, Changwat Phitsanulok, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Bang Rakam, Changwat Phitsanulok",2G,Connection,District
"Amphoe Bang Rakam, Changwat Phitsanulok, 3G",21.43,60.32,18.25,0,1300,330,790,200,0,"Amphoe Bang Rakam, Changwat Phitsanulok",3G,Connection,District
"Amphoe Bang Rakam, Changwat Phitsanulok, 4G",30.83,41.6,27.56,0,37000,12000,16000,11000,0,"Amphoe Bang Rakam, Changwat Phitsanulok",4G,Connection,District
"Amphoe Bang Rakam, Changwat Phitsanulok, 5G",42.61,34.07,23.31,0,13000,6000,4800,3300,0,"Amphoe Bang Rakam, Changwat Phitsanulok",5G,Connection,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, 3G",0,100,0,0,140,0,220,0,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",3G,Connection,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, 4G",27.16,67.9,4.94,0,4800,1400,3300,170,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",4G,Connection,District
"Amphoe Noen Sa-nga, Changwat Chaiyaphum, 5G",40.11,51.98,7.91,0,1600,690,950,100,0,"Amphoe Noen Sa-nga, Changwat Chaiyaphum",5G,Connection,District
"Amphoe Cho-airong, Changwat Narathiwat, 3G",44.44,55.56,0,0,280,0,180,0,0,"Amphoe Cho-airong, Changwat Narathiwat",3G,Connection,District
"Amphoe Cho-airong, Changwat Narathiwat, 4G",22,56.68,21.31,0,12000,2800,7600,2800,0,"Amphoe Cho-airong, Changwat Narathiwat",4G,Connection,District
"Amphoe Cho-airong, Changwat Narathiwat, 5G",24.69,62.35,12.96,0,3000,810,2000,390,0,"Amphoe Cho-airong, Changwat Narathiwat",5G,Connection,District
"Amphoe Ban Fang, Changwat Khon Kaen, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Ban Fang, Changwat Khon Kaen",2G,Connection,District
"Amphoe Ban Fang, Changwat Khon Kaen, 3G",44.44,55.56,0,0,330,110,150,0,0,"Amphoe Ban Fang, Changwat Khon Kaen",3G,Connection,District
"Amphoe Ban Fang, Changwat Khon Kaen, 4G",31.9,40.31,27.79,0,10000,3500,4300,3100,0,"Amphoe Ban Fang, Changwat Khon Kaen",4G,Connection,District
"Amphoe Ban Fang, Changwat Khon Kaen, 5G",40.98,34.43,24.59,0,3400,1500,1300,820,0,"Amphoe Ban Fang, Changwat Khon Kaen",5G,Connection,District
"Amphoe Ko Yao, Changwat Phang-nga, 3G",30.23,69.77,0,0,320,100,180,0,0,"Amphoe Ko Yao, Changwat Phang-nga",3G,Connection,District
"Amphoe Ko Yao, Changwat Phang-nga, 4G",23.97,58.74,17.28,0,9600,2300,5800,1800,0,"Amphoe Ko Yao, Changwat Phang-nga",4G,Connection,District
"Amphoe Ko Yao, Changwat Phang-nga, 5G",37.73,49.34,12.93,0,3700,1400,1900,570,0,"Amphoe Ko Yao, Changwat Phang-nga",5G,Connection,District
"Amphoe Huai Khot, Changwat Uthai Thani, 3G",0,100,0,0,170,0,0,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",3G,Connection,District
"Amphoe Huai Khot, Changwat Uthai Thani, 4G",31.53,61.93,6.53,0,3400,1100,2200,190,0,"Amphoe Huai Khot, Changwat Uthai Thani",4G,Connection,District
"Amphoe Huai Khot, Changwat Uthai Thani, 5G",48.18,51.82,0,0,1100,450,450,0,0,"Amphoe Huai Khot, Changwat Uthai Thani",5G,Connection,District
"Amphoe Maha Chana Chai, Changwat Yasothon, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Maha Chana Chai, Changwat Yasothon",2G,Connection,District
"Amphoe Maha Chana Chai, Changwat Yasothon, 3G",0,100,0,0,610,0,460,0,0,"Amphoe Maha Chana Chai, Changwat Yasothon",3G,Connection,District
"Amphoe Maha Chana Chai, Changwat Yasothon, 4G",22.96,67.16,9.89,0,20000,4800,14000,2100,0,"Amphoe Maha Chana Chai, Changwat Yasothon",4G,Connection,District
"Amphoe Maha Chana Chai, Changwat Yasothon, 5G",37.14,56.61,6.25,0,5300,2100,3100,470,0,"Amphoe Maha Chana Chai, Changwat Yasothon",5G,Connection,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",2G,Connection,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, 3G",15.45,84.55,0,0,1100,0,990,0,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",3G,Connection,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, 4G",24.63,64.91,10.47,0,48000,12000,32000,5100,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",4G,Connection,District
"Amphoe Watthana Nakhon, Changwat Sa Kaeo, 5G",36.78,55.12,8.1,0,18000,7200,11000,1600,0,"Amphoe Watthana Nakhon, Changwat Sa Kaeo",5G,Connection,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, 3G",0,83.61,16.39,0,450,0,320,0,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",3G,Connection,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, 4G",25.05,69.85,5.1,0,19000,4700,13000,1000,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",4G,Connection,District
"Amphoe Wang Nam Yen, Changwat Sa Kaeo, 5G",31.69,62.86,5.45,0,7300,2400,4700,490,0,"Amphoe Wang Nam Yen, Changwat Sa Kaeo",5G,Connection,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",2G,Connection,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, 3G",20.29,79.71,0,0,750,230,530,100,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",3G,Connection,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, 4G",27.24,55.7,17.06,0,15000,4300,8600,2700,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",4G,Connection,District
"Amphoe Si Chiang Mai, Changwat Nong Khai, 5G",43.76,41.23,15.01,0,4200,2000,1900,580,0,"Amphoe Si Chiang Mai, Changwat Nong Khai",5G,Connection,District
"Amphoe Den Chai, Changwat Phrae, 3G",0,76.09,23.91,0,500,100,320,0,0,"Amphoe Den Chai, Changwat Phrae",3G,Connection,District
"Amphoe Den Chai, Changwat Phrae, 4G",26.75,54.21,19.05,0,12000,3400,6900,2500,0,"Amphoe Den Chai, Changwat Phrae",4G,Connection,District
"Amphoe Den Chai, Changwat Phrae, 5G",43.6,45.73,10.66,0,4000,1800,2000,600,0,"Amphoe Den Chai, Changwat Phrae",5G,Connection,District
"Amphoe Phra Phrom, Changwat Nakhon Si Thammarat, 3G",0,100,0,0,280,0,150,120,0,"Amphoe Phra Phrom, Changwat Nakhon Si Thammarat",3G,Connection,District
"Amphoe Phra Phrom, Changwat Nakhon Si Thammarat, 4G",31.7,49.74,18.56,0,5600,1800,3000,1100,0,"Amphoe Phra Phrom, Changwat Nakhon Si Thammarat",4G,Connection,District
"Amphoe Phra Phrom, Changwat Nakhon Si Thammarat, 5G",33.58,47.55,18.87,0,2300,870,1300,470,0,"Amphoe Phra Phrom, Changwat Nakhon Si Thammarat",5G,Connection,District
"Amphoe Hankha, Changwat Chai Nat, 3G",16.46,60.76,22.78,0,590,0,510,0,0,"Amphoe Hankha, Changwat Chai Nat",3G,Connection,District
"Amphoe Hankha, Changwat Chai Nat, 4G",27.49,64.69,7.83,0,21000,5900,14000,1700,0,"Amphoe Hankha, Changwat Chai Nat",4G,Connection,District
"Amphoe Hankha, Changwat Chai Nat, 5G",42.68,48.85,8.46,0,8000,3700,4300,700,0,"Amphoe Hankha, Changwat Chai Nat",5G,Connection,District
"Amphoe Ban Khwao, Changwat Chaiyaphum, 3G",0,100,0,0,340,0,290,0,0,"Amphoe Ban Khwao, Changwat Chaiyaphum",3G,Connection,District
"Amphoe Ban Khwao, Changwat Chaiyaphum, 4G",31.53,61.07,7.4,0,14000,4100,8300,1100,0,"Amphoe Ban Khwao, Changwat Chaiyaphum",4G,Connection,District
"Amphoe Ban Khwao, Changwat Chaiyaphum, 5G",40.96,50.73,8.32,0,4800,2000,2500,350,0,"Amphoe Ban Khwao, Changwat Chaiyaphum",5G,Connection,District
"Amphoe Samoeng, Changwat Chiang Mai, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Samoeng, Changwat Chiang Mai",2G,Connection,District
"Amphoe Samoeng, Changwat Chiang Mai, 3G",0,100,0,0,130,0,180,0,0,"Amphoe Samoeng, Changwat Chiang Mai",3G,Connection,District
"Amphoe Samoeng, Changwat Chiang Mai, 4G",17.61,78.46,3.93,0,5700,1000,4500,270,0,"Amphoe Samoeng, Changwat Chiang Mai",4G,Connection,District
"Amphoe Samoeng, Changwat Chiang Mai, 5G",29.94,63.69,6.37,0,1500,420,950,0,0,"Amphoe Samoeng, Changwat Chiang Mai",5G,Connection,District
"Amphoe Sang Khom, Changwat Udon Thani, 2G",0,0,0,0,0,0,0,0,0,"Amphoe Sang Khom, Changwat Udon Thani",2G,Connection,District
"Amphoe Sang Khom, Changwat Udon Thani, 3G",0,100,0,0,240,0,140,0,0,"Amphoe Sang Khom, Changwat Udon Thani",3G,Connection,District
"Amphoe Sang Khom, Changwat Udon Thani, 4G",22.27,71.12,6.61,0,7000,1500,5100,610,0,"Amphoe Sang Khom, Changwat Udon Thani",4G,Connection,District
"Amphoe Sang Khom, Changwat Udon Thani, 5G",30.13,64.19,5.68,0,2000,670,1300,0,0,"Amphoe Sang Khom, Changwat Udon Thani",5G,Connection,District
"Phra Khanong, Bangkok, 3G",18.63,40.69,40.69,0,2100,460,820,780,0,"Phra Khanong, Bangkok",3G,Connection,District
"Phra Khanong, Bangkok, 4G",26.36,36.95,36.69,0,80000,22000,30000,30000,0,"Phra Khanong, Bangkok",4G,Connection,District
