Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Phrae, 13-17",36.56,49.1,14.34,--,"12,000","12,000","12,000","12,000","4,800","6,600","2,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phrae,13-17,Age
"Changwat Phrae, 18-24",36.61,47.73,15.67,--,"35,000","35,000","35,000","35,000","14,000","19,000","6,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phrae,18-24,Age
"Changwat Phrae, 25-34",35.71,48.81,15.49,--,"72,000","72,000","72,000","72,000","27,000","38,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phrae,25-34,Age
"Changwat Phrae, 35-44",35.25,50.68,14.07,--,"53,000","53,000","53,000","53,000","19,000","28,000","8,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phrae,35-44,Age
"Changwat Phrae, 45-54",30.99,54.8,14.21,--,"42,000","42,000","42,000","42,000","13,000","24,000","6,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phrae,45-54,Age
"Changwat Phrae, 55-64",24.87,59.29,15.84,--,"39,000","39,000","39,000","39,000","9,600","24,000","6,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phrae,55-64,Age
"Changwat Phrae, 65+",26.43,58.57,15.0,--,"24,000","24,000","24,000","24,000","6,600","14,000","3,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phrae,65+,Age
"Changwat Chon Buri, 13-17",39.03,39.79,21.18,--,"77,000","77,000","77,000","77,000","33,000","35,000","18,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chon Buri,13-17,Age
"Changwat Chon Buri, 18-24",35.49,43.83,20.68,--,"403,000","403,000","403,000","403,000","151,000","187,000","89,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chon Buri,18-24,Age
"Changwat Chon Buri, 25-34",33.83,47.3,18.87,--,"913,000","913,000","913,000","913,000","321,000","448,000","179,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chon Buri,25-34,Age
"Changwat Chon Buri, 35-44",31.9,49.58,18.52,--,"584,000","584,000","584,000","584,000","192,000","299,000","112,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chon Buri,35-44,Age
"Changwat Chon Buri, 45-54",29.4,51.54,19.07,--,"332,000","332,000","332,000","332,000","100,000","175,000","66,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chon Buri,45-54,Age
"Changwat Chon Buri, 55-64",27.6,50.63,21.78,--,"166,000","166,000","166,000","166,000","47,000","86,000","37,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chon Buri,55-64,Age
"Changwat Chon Buri, 65+",27.11,50.05,22.83,--,"91,000","91,000","91,000","91,000","25,000","46,000","21,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chon Buri,65+,Age
"Changwat Buri Ram, 13-17",37.74,51.33,10.92,--,"64,000","64,000","64,000","64,000","26,000","37,000","7,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Buri Ram,13-17,Age
"Changwat Buri Ram, 18-24",39.42,48.1,12.48,--,"151,000","151,000","151,000","151,000","67,000","80,000","20,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Buri Ram,18-24,Age
"Changwat Buri Ram, 25-34",37.93,50.26,11.81,--,"268,000","268,000","268,000","268,000","107,000","140,000","34,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Buri Ram,25-34,Age
"Changwat Buri Ram, 35-44",35.31,51.67,13.02,--,"158,000","158,000","158,000","158,000","57,000","85,000","22,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Buri Ram,35-44,Age
"Changwat Buri Ram, 45-54",31.08,57.16,11.77,--,"124,000","124,000","124,000","124,000","40,000","73,000","15,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Buri Ram,45-54,Age
"Changwat Buri Ram, 55-64",26.87,62.33,10.8,--,"89,000","89,000","89,000","89,000","24,000","57,000","9,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Buri Ram,55-64,Age
"Changwat Buri Ram, 65+",28.92,60.54,10.55,--,"48,000","48,000","48,000","48,000","14,000","30,000","5,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Buri Ram,65+,Age
"Changwat Nong Bua Lam Phu, 13-17",27.74,64.31,7.95,--,"20,000","20,000","20,000","20,000","6,200","14,000","1,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nong Bua Lam Phu,13-17,Age
"Changwat Nong Bua Lam Phu, 18-24",30.32,61.58,8.11,--,"44,000","44,000","44,000","44,000","14,000","28,000","3,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nong Bua Lam Phu,18-24,Age
"Changwat Nong Bua Lam Phu, 25-34",27.89,64.9,7.22,--,"84,000","84,000","84,000","84,000","24,000","56,000","6,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nong Bua Lam Phu,25-34,Age
"Changwat Nong Bua Lam Phu, 35-44",25.52,67.06,7.43,--,"51,000","51,000","51,000","51,000","13,000","36,000","3,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nong Bua Lam Phu,35-44,Age
"Changwat Nong Bua Lam Phu, 45-54",22.04,72.24,5.72,--,"45,000","45,000","45,000","45,000","10,000","33,000","2,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nong Bua Lam Phu,45-54,Age
"Changwat Nong Bua Lam Phu, 55-64",19.03,75.85,5.12,--,"33,000","33,000","33,000","33,000","6,300","26,000","1,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nong Bua Lam Phu,55-64,Age
"Changwat Nong Bua Lam Phu, 65+",17.99,76.91,5.1,--,"19,000","19,000","19,000","19,000","3,400","14,000",990,--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nong Bua Lam Phu,65+,Age
"Changwat Yala, 13-17",19.04,73.35,7.61,--,"30,000","30,000","30,000","30,000","6,100","24,000","2,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Yala,13-17,Age
"Changwat Yala, 18-24",18.15,73.7,8.15,--,"81,000","81,000","81,000","81,000","16,000","62,000","6,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Yala,18-24,Age
"Changwat Yala, 25-34",18.92,73.31,7.77,--,"160,000","160,000","160,000","160,000","31,000","122,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Yala,25-34,Age
"Changwat Yala, 35-44",17.45,73.84,8.72,--,"87,000","87,000","87,000","87,000","16,000","66,000","7,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Yala,35-44,Age
"Changwat Yala, 45-54",16.22,73.69,10.09,--,"41,000","41,000","41,000","41,000","6,900","32,000","4,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Yala,45-54,Age
"Changwat Yala, 55-64",12.68,75.33,11.99,--,"24,000","24,000","24,000","24,000","3,100","19,000","3,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Yala,55-64,Age
"Changwat Yala, 65+",13.82,74.8,10.64,0.73,"16,000","16,000","16,000","16,000","2,300","11,000","1,600",100,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Yala,65+,Age
"Changwat Chumphon, 13-17",20.24,66.85,12.91,--,"21,000","21,000","21,000","21,000","4,700","16,000","3,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chumphon,13-17,Age
"Changwat Chumphon, 18-24",19.66,65.05,15.3,--,"74,000","74,000","74,000","74,000","15,000","51,000","12,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chumphon,18-24,Age
"Changwat Chumphon, 25-34",20.08,66.07,13.85,--,"157,000","157,000","157,000","157,000","32,000","109,000","23,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chumphon,25-34,Age
"Changwat Chumphon, 35-44",20.12,65.9,13.99,--,"96,000","96,000","96,000","96,000","20,000","65,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chumphon,35-44,Age
"Changwat Chumphon, 45-54",17.29,68.87,13.84,--,"66,000","66,000","66,000","66,000","12,000","46,000","9,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chumphon,45-54,Age
"Changwat Chumphon, 55-64",16.38,69.58,14.04,--,"42,000","42,000","42,000","42,000","7,100","30,000","5,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chumphon,55-64,Age
"Changwat Chumphon, 65+",16.99,69.05,13.95,--,"26,000","26,000","26,000","26,000","4,400","18,000","3,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chumphon,65+,Age
"Changwat Ratchaburi, 13-17",23.43,55.76,20.81,--,"32,000","32,000","32,000","32,000","8,200","20,000","6,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ratchaburi,13-17,Age
