Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Kanchanaburi, Less than $100",10.05,83.46,6.49,--,"36,000","36,000","36,000","36,000","3,800","29,000","2,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kanchanaburi,Less than $100,Device
"Changwat Kanchanaburi, $100 - $149",11.87,80.7,7.43,--,"117,000","117,000","117,000","117,000","14,000","95,000","8,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kanchanaburi,$100 - $149,Device
"Changwat Kanchanaburi, $150 - $199",14.78,76.56,8.66,--,"100,000","100,000","100,000","100,000","14,000","78,000","8,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kanchanaburi,$150 - $199,Device
"Changwat Kanchanaburi, $200 - $249",15.89,75.05,9.07,--,"68,000","68,000","68,000","68,000","11,000","52,000","6,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kanchanaburi,$200 - $249,Device
"Changwat Kanchanaburi, $250 - $299",15.5,76.46,8.05,--,"59,000","59,000","59,000","59,000","9,600","47,000","5,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kanchanaburi,$250 - $299,Device
"Changwat Kanchanaburi, $300 - $399",17.19,74.79,8.02,--,"78,000","78,000","78,000","78,000","14,000","59,000","6,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kanchanaburi,$300 - $399,Device
"Changwat Kanchanaburi, $400 - $599",19.17,72.8,8.04,--,"83,000","83,000","83,000","83,000","17,000","60,000","6,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kanchanaburi,$400 - $599,Device
"Changwat Kanchanaburi, $600 - $999",22.13,70.2,7.68,--,"99,000","99,000","99,000","99,000","22,000","72,000","7,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kanchanaburi,$600 - $999,Device
"Changwat Nakhon Pathom, Price unknown",28.6,49.33,22.07,--,"26,000","26,000","26,000","26,000","7,500","13,000","6,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,Price unknown,Device
"Changwat Nakhon Pathom, $1,000 or more",26.85,57.69,15.46,--,"204,000","204,000","204,000","204,000","56,000","121,000","31,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,"$1,000 or more",Device
"Changwat Nakhon Pathom, Less than $100",20.81,55.51,23.68,--,"24,000","24,000","24,000","24,000","4,900","14,000","5,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,Less than $100,Device
"Changwat Nakhon Pathom, $100 - $149",21.74,54.68,23.58,--,"86,000","86,000","86,000","86,000","19,000","48,000","20,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,$100 - $149,Device
"Changwat Nakhon Pathom, $150 - $199",23.67,53.71,22.62,--,"86,000","86,000","86,000","86,000","20,000","47,000","19,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,$150 - $199,Device
"Changwat Nakhon Pathom, $200 - $249",23.88,52.55,23.57,--,"64,000","64,000","64,000","64,000","15,000","36,000","16,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,$200 - $249,Device
"Changwat Nakhon Pathom, $250 - $299",21.82,56.55,21.63,--,"60,000","60,000","60,000","60,000","13,000","33,000","14,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,$250 - $299,Device
"Changwat Nakhon Pathom, $300 - $399",24.52,55.24,20.24,--,"87,000","87,000","87,000","87,000","22,000","48,000","18,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,$300 - $399,Device
"Changwat Nakhon Pathom, $400 - $599",27.37,53.6,19.04,--,"105,000","105,000","105,000","105,000","29,000","58,000","20,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,$400 - $599,Device
"Changwat Nakhon Pathom, $600 - $999",28.94,53.51,17.55,--,"133,000","133,000","133,000","133,000","40,000","74,000","24,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Pathom,$600 - $999,Device
"Changwat Kamphaeng Phet, Price unknown",38.44,40.71,20.86,--,"15,000","15,000","15,000","15,000","6,000","6,400","3,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,Price unknown,Device
"Changwat Kamphaeng Phet, $1,000 or more",41.77,38.8,19.43,--,"70,000","70,000","70,000","70,000","30,000","28,000","14,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,"$1,000 or more",Device
"Changwat Kamphaeng Phet, Less than $100",30.57,48.97,20.46,--,"22,000","22,000","22,000","22,000","6,700","11,000","4,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,Less than $100,Device
"Changwat Kamphaeng Phet, $100 - $149",31.34,47.71,20.95,--,"66,000","66,000","66,000","66,000","21,000","33,000","14,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,$100 - $149,Device
"Changwat Kamphaeng Phet, $150 - $199",32.17,45.93,21.9,--,"59,000","59,000","59,000","59,000","19,000","28,000","13,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,$150 - $199,Device
"Changwat Kamphaeng Phet, $200 - $249",33.41,44.64,21.96,--,"39,000","39,000","39,000","39,000","14,000","18,000","9,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,$200 - $249,Device
"Changwat Kamphaeng Phet, $250 - $299",31.71,45.23,23.06,--,"35,000","35,000","35,000","35,000","11,000","16,000","8,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,$250 - $299,Device
"Changwat Kamphaeng Phet, $300 - $399",33.93,43.85,22.23,--,"45,000","45,000","45,000","45,000","16,000","20,000","11,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,$300 - $399,Device
"Changwat Kamphaeng Phet, $400 - $599",37.34,41.11,21.55,--,"51,000","51,000","51,000","51,000","20,000","21,000","11,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,$400 - $599,Device
"Changwat Kamphaeng Phet, $600 - $999",41.12,38.03,20.85,--,"59,000","59,000","59,000","59,000","25,000","24,000","13,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Kamphaeng Phet,$600 - $999,Device
"Changwat Phetchabun, Price unknown",45.8,40.06,14.14,--,"19,000","19,000","19,000","19,000","9,000","8,000","2,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,Price unknown,Device
"Changwat Phetchabun, $1,000 or more",46.46,40.36,13.18,--,"80,000","80,000","80,000","80,000","39,000","33,000","11,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,"$1,000 or more",Device
"Changwat Phetchabun, Less than $100",38.97,49.0,12.03,--,"24,000","24,000","24,000","24,000","9,200","13,000","3,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,Less than $100,Device
"Changwat Phetchabun, $100 - $149",39.82,47.91,12.28,--,"82,000","82,000","82,000","82,000","33,000","40,000","11,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,$100 - $149,Device
"Changwat Phetchabun, $150 - $199",40.01,46.65,13.35,--,"74,000","74,000","74,000","74,000","30,000","34,000","10,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,$150 - $199,Device
"Changwat Phetchabun, $200 - $249",40.67,45.29,14.03,--,"51,000","51,000","51,000","51,000","21,000","23,000","7,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,$200 - $249,Device
"Changwat Phetchabun, $250 - $299",41.18,45.13,13.7,--,"45,000","45,000","45,000","45,000","19,000","20,000","6,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,$250 - $299,Device
"Changwat Phetchabun, $300 - $399",42.44,43.62,13.94,--,"57,000","57,000","57,000","57,000","24,000","25,000","8,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,$300 - $399,Device
"Changwat Phetchabun, $400 - $599",45.95,40.18,13.87,--,"62,000","62,000","62,000","62,000","29,000","26,000","9,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,$400 - $599,Device
"Changwat Phetchabun, $600 - $999",47.61,38.1,14.29,--,"69,000","69,000","69,000","69,000","34,000","28,000","11,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Phetchabun,$600 - $999,Device
"Changwat Nakhon Nayok, Price unknown",37.0,43.13,19.86,--,"8,500","8,500","8,500","8,500","3,200","3,900","1,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,Price unknown,Device
"Changwat Nakhon Nayok, $1,000 or more",35.05,48.76,16.2,--,"46,000","46,000","46,000","46,000","17,000","23,000","7,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,"$1,000 or more",Device
"Changwat Nakhon Nayok, Less than $100",30.79,49.74,19.47,--,"9,200","9,200","9,200","9,200","2,900","4,500","1,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,Less than $100,Device
"Changwat Nakhon Nayok, $100 - $149",32.75,48.74,18.51,--,"27,000","27,000","27,000","27,000","9,000","14,000","5,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,$100 - $149,Device
"Changwat Nakhon Nayok, $150 - $199",32.18,47.82,20.0,--,"25,000","25,000","25,000","25,000","7,900","12,000","5,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,$150 - $199,Device
"Changwat Nakhon Nayok, $200 - $249",30.26,48.06,21.68,--,"19,000","19,000","19,000","19,000","5,600","9,300","4,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,$200 - $249,Device
"Changwat Nakhon Nayok, $250 - $299",30.25,48.07,21.69,--,"17,000","17,000","17,000","17,000","5,500","8,200","3,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,$250 - $299,Device
"Changwat Nakhon Nayok, $300 - $399",31.02,47.52,21.46,--,"25,000","25,000","25,000","25,000","7,900","12,000","5,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,$300 - $399,Device
"Changwat Nakhon Nayok, $400 - $599",37.12,43.91,18.97,--,"26,000","26,000","26,000","26,000","10,000","12,000","5,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,$400 - $599,Device
"Changwat Nakhon Nayok, $600 - $999",36.23,45.81,17.96,--,"33,000","33,000","33,000","33,000","12,000","16,000","6,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nakhon Nayok,$600 - $999,Device
"Changwat Satun, Price unknown",25.54,36.24,38.22,--,"9,700","9,700","9,700","9,700","2,600","3,800","3,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,Price unknown,Device
"Changwat Satun, $1,000 or more",25.64,40.52,33.83,--,"36,000","36,000","36,000","36,000","9,600","16,000","13,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,"$1,000 or more",Device
"Changwat Satun, Less than $100",19.72,41.36,38.92,--,"13,000","13,000","13,000","13,000","2,700","5,600","5,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,Less than $100,Device
"Changwat Satun, $100 - $149",22.51,41.3,36.18,--,"44,000","44,000","44,000","44,000","9,800","18,000","17,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,$100 - $149,Device
"Changwat Satun, $150 - $199",23.76,38.06,38.18,--,"32,000","32,000","32,000","32,000","7,800","13,000","12,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,$150 - $199,Device
"Changwat Satun, $200 - $249",25.05,36.95,37.99,--,"19,000","19,000","19,000","19,000","4,600","6,800","7,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,$200 - $249,Device
"Changwat Satun, $250 - $299",22.18,41.86,35.96,--,"16,000","16,000","16,000","16,000","4,000","7,700","6,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,$250 - $299,Device
"Changwat Satun, $300 - $399",21.93,40.6,37.48,--,"21,000","21,000","21,000","21,000","4,700","8,700","8,200",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,$300 - $399,Device
"Changwat Satun, $400 - $599",25.25,39.77,34.98,--,"24,000","24,000","24,000","24,000","6,400","10,000","8,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,$400 - $599,Device
"Changwat Satun, $600 - $999",26.73,38.52,34.76,--,"32,000","32,000","32,000","32,000","9,200","13,000","12,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Satun,$600 - $999,Device
"Changwat Suphan Buri, Price unknown",26.67,57.32,16.0,--,"19,000","19,000","19,000","19,000","5,300","11,000","3,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,Price unknown,Device
"Changwat Suphan Buri, $1,000 or more",26.25,60.58,13.17,--,"111,000","111,000","111,000","111,000","30,000","68,000","15,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,"$1,000 or more",Device
"Changwat Suphan Buri, Less than $100",18.24,68.65,13.11,--,"27,000","27,000","27,000","27,000","5,000","19,000","3,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,Less than $100,Device
"Changwat Suphan Buri, $100 - $149",18.13,67.97,13.9,--,"85,000","85,000","85,000","85,000","16,000","57,000","12,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,$100 - $149,Device
"Changwat Suphan Buri, $150 - $199",19.09,67.04,13.87,--,"78,000","78,000","78,000","78,000","15,000","53,000","11,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,$150 - $199,Device
"Changwat Suphan Buri, $200 - $249",20.09,65.78,14.14,--,"52,000","52,000","52,000","52,000","11,000","35,000","7,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,$200 - $249,Device
"Changwat Suphan Buri, $250 - $299",18.32,67.33,14.35,--,"48,000","48,000","48,000","48,000","9,300","34,000","7,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,$250 - $299,Device
"Changwat Suphan Buri, $300 - $399",21.31,63.7,14.99,--,"64,000","64,000","64,000","64,000","14,000","41,000","10,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,$300 - $399,Device
"Changwat Suphan Buri, $400 - $599",24.51,61.58,13.91,--,"74,000","74,000","74,000","74,000","18,000","47,000","11,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,$400 - $599,Device
"Changwat Suphan Buri, $600 - $999",25.63,59.39,14.98,--,"82,000","82,000","82,000","82,000","22,000","50,000","13,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Suphan Buri,$600 - $999,Device
"Changwat Nong Khai, Price unknown",34.19,52.83,12.98,--,"13,000","13,000","13,000","13,000","4,600","6,900","1,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,Price unknown,Device
"Changwat Nong Khai, $1,000 or more",37.91,45.13,16.97,--,"55,000","55,000","55,000","55,000","21,000","26,000","9,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,"$1,000 or more",Device
"Changwat Nong Khai, Less than $100",30.06,57.64,12.3,--,"22,000","22,000","22,000","22,000","6,400","13,000","2,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,Less than $100,Device
"Changwat Nong Khai, $100 - $149",28.58,58.04,13.38,--,"62,000","62,000","62,000","62,000","19,000","37,000","8,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,$100 - $149,Device
"Changwat Nong Khai, $150 - $199",31.89,55.33,12.78,--,"52,000","52,000","52,000","52,000","17,000","29,000","6,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,$150 - $199,Device
"Changwat Nong Khai, $200 - $249",31.99,54.51,13.5,--,"33,000","33,000","33,000","33,000","11,000","19,000","4,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,$200 - $249,Device
"Changwat Nong Khai, $250 - $299",32.1,52.59,15.3,--,"30,000","30,000","30,000","30,000","9,800","17,000","4,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,$250 - $299,Device
"Changwat Nong Khai, $300 - $399",32.43,52.72,14.86,--,"37,000","37,000","37,000","37,000","12,000","20,000","5,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,$300 - $399,Device
"Changwat Nong Khai, $400 - $599",36.08,48.3,15.62,--,"38,000","38,000","38,000","38,000","14,000","18,000","5,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,$400 - $599,Device
"Changwat Nong Khai, $600 - $999",38.12,46.28,15.6,--,"44,000","44,000","44,000","44,000","17,000","22,000","7,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Nong Khai,$600 - $999,Device
"Changwat Trat, Price unknown",31.95,53.38,14.66,--,"7,600","7,600","7,600","7,600","2,600","4,100","1,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,Price unknown,Device
"Changwat Trat, $1,000 or more",33.31,52.79,13.9,--,"39,000","39,000","39,000","39,000","13,000","21,000","5,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,"$1,000 or more",Device
"Changwat Trat, Less than $100",21.57,64.25,14.17,--,"12,000","12,000","12,000","12,000","2,800","7,900","1,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,Less than $100,Device
"Changwat Trat, $100 - $149",24.45,60.63,14.91,--,"34,000","34,000","34,000","34,000","8,300","21,000","5,000",120,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,$100 - $149,Device
"Changwat Trat, $150 - $199",24.8,58.48,16.73,--,"31,000","31,000","31,000","31,000","7,600","19,000","5,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,$150 - $199,Device
"Changwat Trat, $200 - $249",26.99,55.99,17.02,--,"21,000","21,000","21,000","21,000","5,900","12,000","3,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,$200 - $249,Device
"Changwat Trat, $250 - $299",28.76,56.35,14.89,--,"15,000","15,000","15,000","15,000","4,400","9,000","2,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,$250 - $299,Device
"Changwat Trat, $300 - $399",31.05,52.14,16.81,--,"22,000","22,000","22,000","22,000","6,700","12,000","3,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,$300 - $399,Device
"Changwat Trat, $400 - $599",32.38,53.75,13.87,--,"21,000","21,000","21,000","21,000","6,900","11,000","3,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,$400 - $599,Device
"Changwat Trat, $600 - $999",34.29,50.1,15.61,--,"29,000","29,000","29,000","29,000","10,000","16,000","4,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Trat,$600 - $999,Device
"Changwat Lamphun, Price unknown",45.56,40.7,13.74,--,"11,000","11,000","11,000","11,000","5,400","4,700","1,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,Price unknown,Device
"Changwat Lamphun, $1,000 or more",44.2,43.29,12.51,--,"61,000","61,000","61,000","61,000","28,000","27,000","8,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,"$1,000 or more",Device
"Changwat Lamphun, Less than $100",42.44,45.99,11.56,--,"15,000","15,000","15,000","15,000","6,300","7,000","1,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,Less than $100,Device
"Changwat Lamphun, $100 - $149",41.79,44.51,13.71,--,"46,000","46,000","46,000","46,000","20,000","22,000","6,500",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,$100 - $149,Device
"Changwat Lamphun, $150 - $199",42.17,43.88,13.95,--,"42,000","42,000","42,000","42,000","18,000","19,000","6,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,$150 - $199,Device
"Changwat Lamphun, $200 - $249",42.21,42.76,15.03,--,"29,000","29,000","29,000","29,000","13,000","12,000","4,400",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,$200 - $249,Device
"Changwat Lamphun, $250 - $299",40.2,44.82,14.98,--,"26,000","26,000","26,000","26,000","11,000","12,000","3,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,$250 - $299,Device
"Changwat Lamphun, $300 - $399",44.17,42.19,13.64,--,"37,000","37,000","37,000","37,000","15,000","15,000","5,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,$300 - $399,Device
"Changwat Lamphun, $400 - $599",42.87,41.54,15.59,--,"37,000","37,000","37,000","37,000","17,000","15,000","5,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,$400 - $599,Device
"Changwat Lamphun, $600 - $999",44.66,41.56,13.78,--,"47,000","47,000","47,000","47,000","22,000","20,000","6,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lamphun,$600 - $999,Device
"Changwat Lampang, Price unknown",33.38,56.22,10.4,--,"19,000","19,000","19,000","19,000","6,600","11,000","2,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,Price unknown,Device
"Changwat Lampang, $1,000 or more",35.02,54.78,10.2,--,"87,000","87,000","87,000","87,000","31,000","48,000","8,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,"$1,000 or more",Device
"Changwat Lampang, Less than $100",23.35,67.69,8.96,--,"23,000","23,000","23,000","23,000","5,200","16,000","2,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,Less than $100,Device
"Changwat Lampang, $100 - $149",25.69,64.92,9.39,--,"75,000","75,000","75,000","75,000","19,000","50,000","7,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,$100 - $149,Device
"Changwat Lampang, $150 - $199",27.92,61.74,10.34,--,"66,000","66,000","66,000","66,000","19,000","41,000","7,000",170,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,$150 - $199,Device
"Changwat Lampang, $200 - $249",29.33,59.53,11.14,--,"43,000","43,000","43,000","43,000","13,000","27,000","4,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,$200 - $249,Device
"Changwat Lampang, $250 - $299",27.41,61.4,11.2,--,"43,000","43,000","43,000","43,000","12,000","27,000","4,800",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,$250 - $299,Device
"Changwat Lampang, $300 - $399",31.67,56.9,11.42,--,"53,000","53,000","53,000","53,000","17,000","31,000","6,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,$300 - $399,Device
"Changwat Lampang, $400 - $599",33.6,54.43,11.98,--,"56,000","56,000","56,000","56,000","19,000","31,000","7,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,$400 - $599,Device
"Changwat Lampang, $600 - $999",35.66,54.02,10.31,--,"67,000","67,000","67,000","67,000","26,000","37,000","7,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Lampang,$600 - $999,Device
"Changwat Chiang Mai, Price unknown",36.7,47.37,15.93,--,"68,000","68,000","68,000","68,000","25,000","34,000","12,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,Price unknown,Device
"Changwat Chiang Mai, $1,000 or more",36.59,48.65,14.75,--,"459,000","459,000","459,000","459,000","171,000","229,000","67,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,"$1,000 or more",Device
"Changwat Chiang Mai, Less than $100",27.9,58.1,14.0,--,"85,000","85,000","85,000","85,000","24,000","50,000","12,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,Less than $100,Device
"Changwat Chiang Mai, $100 - $149",28.18,55.62,16.2,--,"269,000","269,000","269,000","269,000","78,000","151,000","44,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,$100 - $149,Device
"Changwat Chiang Mai, $150 - $199",30.12,52.43,17.45,--,"226,000","226,000","226,000","226,000","70,000","120,000","39,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,$150 - $199,Device
"Changwat Chiang Mai, $200 - $249",31.82,49.43,18.74,--,"160,000","160,000","160,000","160,000","52,000","81,000","30,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,$200 - $249,Device
"Changwat Chiang Mai, $250 - $299",30.93,50.64,18.43,--,"142,000","142,000","142,000","142,000","43,000","72,000","28,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,$250 - $299,Device
"Changwat Chiang Mai, $300 - $399",33.66,48.46,17.87,--,"187,000","187,000","187,000","187,000","63,000","92,000","34,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,$300 - $399,Device
"Changwat Chiang Mai, $400 - $599",37.02,46.55,16.43,--,"223,000","223,000","223,000","223,000","85,000","107,000","37,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,$400 - $599,Device
"Changwat Chiang Mai, $600 - $999",36.55,46.82,16.63,--,"304,000","304,000","304,000","304,000","116,000","146,000","51,000",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Chiang Mai,$600 - $999,Device
"Changwat Sa Kaeo, Price unknown",30.83,61.02,8.14,--,"15,000","15,000","15,000","15,000","4,800","9,300","1,300",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sa Kaeo,Price unknown,Device
"Changwat Sa Kaeo, $1,000 or more",31.77,57.6,10.63,--,"76,000","76,000","76,000","76,000","25,000","44,000","7,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sa Kaeo,"$1,000 or more",Device
"Changwat Sa Kaeo, Less than $100",23.28,68.79,7.94,--,"24,000","24,000","24,000","24,000","5,800","17,000","2,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sa Kaeo,Less than $100,Device
"Changwat Sa Kaeo, $100 - $149",24.29,67.83,7.88,--,"70,000","70,000","70,000","70,000","17,000","48,000","5,700",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sa Kaeo,$100 - $149,Device
"Changwat Sa Kaeo, $150 - $199",24.86,66.02,9.13,--,"52,000","52,000","52,000","52,000","13,000","35,000","4,900",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sa Kaeo,$150 - $199,Device
"Changwat Sa Kaeo, $200 - $249",25.56,65.21,9.23,--,"35,000","35,000","35,000","35,000","9,500","23,000","3,100",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sa Kaeo,$200 - $249,Device
"Changwat Sa Kaeo, $250 - $299",24.82,66.26,8.92,--,"30,000","30,000","30,000","30,000","7,300","20,000","2,600",--,MB MKS by province(Device)_2025-12-28_All.csv,Changwat Sa Kaeo,$250 - $299,Device
