System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
Android,Age,13-17,District,32.35,0,440,Phichit,Wang Sai Phun
Android,Age,13-17,District,0,100,440,Nakhon Si Thammarat,Chulabhorn
Android,Age,13-17,District,34.38,65.63,440,Nakhon Si Thammarat,Chaloem Phra Kiat
iOS,Age,13-17,District,0,0,440,Phichit,Wang Sai Phun
iOS,Age,13-17,District,0,100,440,Nakhon Si Thammarat,Chulabhorn
iOS,Age,13-17,District,0,100,440,Nakhon Si Thammarat,Chaloem Phra Kiat
All OS,Age,13-17,District,0,100,450,Nakhon Si Thammarat,Chang Klang
Android,Age,13-17,District,0,100,450,Nakhon Si Thammarat,Chang Klang
iOS,Age,13-17,District,0,100,450,Nakhon Si Thammarat,Chang Klang
All OS,Age,13-17,District,26.67,73.33,460,Nakhon Phanom,Wang Yang
Android,Age,13-17,District,0,100,460,Nakhon Phanom,Wang Yang
iOS,Age,13-17,District,0,0,460,Nakhon Phanom,Wang Yang
All OS,Age,13-17,District,27.27,72.73,470,Udon Thani,Prachaksinlapakhom
Android,Age,13-17,District,39.47,60.53,470,Udon Thani,Prachaksinlapakhom
iOS,Age,13-17,District,0,100,470,Udon Thani,Prachaksinlapakhom
All OS,Age,13-17,District,25.45,74.55,480,Lampang,Soem Ngam
All OS,Age,13-17,District,66.66,33.33,480,Phichit,Dong Charoen
All OS,Age,13-17,District,46.67,53.33,480,Uthai Thani,Huai Khot
All OS,Age,13-17,District,35.71,64.29,480,Chiang Rai,Doi Luang
All OS,Age,13-17,District,35.14,64.86,480,Loei,Na Haeo
Android,Age,13-17,District,0,65.22,480,Lampang,Soem Ngam
Android,Age,13-17,District,0,60,480,Phichit,Dong Charoen
Android,Age,13-17,District,0,0,480,Uthai Thani,Huai Khot
Android,Age,13-17,District,0,57.78,480,Chiang Rai,Doi Luang
Android,Age,13-17,District,0,72.22,480,Loei,Na Haeo
iOS,Age,13-17,District,0,100,480,Lampang,Soem Ngam
iOS,Age,13-17,District,100,0,480,Phichit,Dong Charoen
iOS,Age,13-17,District,0,0,480,Uthai Thani,Huai Khot
iOS,Age,13-17,District,0,0,480,Chiang Rai,Doi Luang
iOS,Age,13-17,District,0,100,480,Loei,Na Haeo
All OS,Age,13-17,District,57.44,42.55,490,Phrae,Nong Muang Khai
All OS,Age,13-17,District,66.67,33.33,490,Samut Prakan,Bang Sao Thong
All OS,Age,13-17,District,44.44,55.56,490,Uthai Thani,Nong Khayang
