System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
Android,Device,"$1,000 or more",District,57.14,42.86,4400,Phichit,Bang Mun Nak
Android,Device,"$1,000 or more",District,31.25,68.75,4400,Khon Kaen,Mancha Khiri
Android,Device,"$1,000 or more",District,37.04,62.96,4400,Prachuap Khiri Khan,Kui Buri
Android,Device,"$1,000 or more",District,0,100,4400,Chiang Mai,Chom Thong
Android,Device,"$1,000 or more",District,31.25,68.75,4400,Chaiyaphum,Bamnet Narong
Android,Device,"$1,000 or more",District,0,100,4400,Phatthalung,Pa Phayom
Android,Device,"$1,000 or more",District,33.33,66.67,4400,Nakhon Phanom,Na Kae
Android,Device,"$1,000 or more",District,0,100,4400,Narathiwat,Yi-ngo
Android,Device,"$1,000 or more",District,47.83,52.17,4400,Ubon Ratchathani,Buntharik
iOS,Device,"$1,000 or more",District,58.48,41.52,4400,Phichit,Bang Mun Nak
iOS,Device,"$1,000 or more",District,45.78,54.23,4400,Khon Kaen,Mancha Khiri
iOS,Device,"$1,000 or more",District,45.58,54.42,4400,Prachuap Khiri Khan,Kui Buri
iOS,Device,"$1,000 or more",District,48.83,51.17,4400,Chiang Mai,Chom Thong
iOS,Device,"$1,000 or more",District,41.23,58.76,4400,Chaiyaphum,Bamnet Narong
iOS,Device,"$1,000 or more",District,31.91,68.09,4400,Phatthalung,Pa Phayom
iOS,Device,"$1,000 or more",District,42.13,57.87,4400,Nakhon Phanom,Na Kae
iOS,Device,"$1,000 or more",District,34.24,65.76,4400,Narathiwat,Yi-ngo
iOS,Device,"$1,000 or more",District,64.26,35.75,4400,Ubon Ratchathani,Buntharik
All OS,Device,"$1,000 or more",District,35.4,64.6,4500,Loei,Dan Sai
All OS,Device,"$1,000 or more",District,47.88,52.13,4500,Nakhon Si Thammarat,Hua Sai
All OS,Device,"$1,000 or more",District,62.58,37.42,4500,Nakhon Sawan,Chum Saeng
All OS,Device,"$1,000 or more",District,52.04,47.96,4500,Kalasin,Kamalasai
All OS,Device,"$1,000 or more",District,38.91,61.09,4500,Nakhon Ratchasima,Non Thai
All OS,Device,"$1,000 or more",District,46.51,53.49,4500,Chanthaburi,Laem Sing
All OS,Device,"$1,000 or more",District,43.13,56.86,4500,Nakhon Ratchasima,Chum Phuang
All OS,Device,"$1,000 or more",District,39.51,60.49,4500,Prachin Buri,Si Mahosot
Android,Device,"$1,000 or more",District,38.89,61.11,4500,Loei,Dan Sai
Android,Device,"$1,000 or more",District,41.38,58.62,4500,Nakhon Si Thammarat,Hua Sai
Android,Device,"$1,000 or more",District,36,64,4500,Nakhon Sawan,Chum Saeng
Android,Device,"$1,000 or more",District,40.38,59.62,4500,Kalasin,Kamalasai
Android,Device,"$1,000 or more",District,57.14,42.86,4500,Nakhon Ratchasima,Non Thai
Android,Device,"$1,000 or more",District,100,0,4500,Chanthaburi,Laem Sing
Android,Device,"$1,000 or more",District,62.96,37.04,4500,Nakhon Ratchasima,Chum Phuang
Android,Device,"$1,000 or more",District,34.48,65.52,4500,Prachin Buri,Si Mahosot
iOS,Device,"$1,000 or more",District,31.74,68.26,4500,Loei,Dan Sai
iOS,Device,"$1,000 or more",District,46.99,53.01,4500,Nakhon Si Thammarat,Hua Sai
iOS,Device,"$1,000 or more",District,63.55,36.45,4500,Nakhon Sawan,Chum Saeng
iOS,Device,"$1,000 or more",District,52.31,47.68,4500,Kalasin,Kamalasai
iOS,Device,"$1,000 or more",District,37.65,62.36,4500,Nakhon Ratchasima,Non Thai
iOS,Device,"$1,000 or more",District,42.48,57.52,4500,Chanthaburi,Laem Sing
iOS,Device,"$1,000 or more",District,40.93,59.07,4500,Nakhon Ratchasima,Chum Phuang
iOS,Device,"$1,000 or more",District,37.97,62.03,4500,Prachin Buri,Si Mahosot
All OS,Device,"$1,000 or more",District,39.1,60.89,4600,Roi Et,Kaset Wisai
All OS,Device,"$1,000 or more",District,65.37,34.62,4600,Phetchabun,Chon Daen
All OS,Device,"$1,000 or more",District,33.89,66.11,4600,Tak,Tha Song Yang
All OS,Device,"$1,000 or more",District,48.86,51.14,4600,Prachin Buri,Ban Sang
All OS,Device,"$1,000 or more",District,47.73,52.26,4600,Mae Hong Son,Mae Sariang
All OS,Device,"$1,000 or more",District,31.94,68.06,4600,Chaiyaphum,Nong Bua Daeng
All OS,Device,"$1,000 or more",District,54.89,45.1,4600,Chiang Rai,Wiang Chai
All OS,Device,"$1,000 or more",District,40.22,59.78,4600,Nakhon Ratchasima,Soeng Sang
All OS,Device,"$1,000 or more",District,39.36,60.64,4600,Ranong,Kra Buri
Android,Device,"$1,000 or more",District,26.53,73.47,4600,Roi Et,Kaset Wisai
Android,Device,"$1,000 or more",District,38.18,61.82,4600,Phetchabun,Chon Daen
Android,Device,"$1,000 or more",District,0,100,4600,Tak,Tha Song Yang
Android,Device,"$1,000 or more",District,53.63,46.38,4600,Prachin Buri,Ban Sang
Android,Device,"$1,000 or more",District,45.16,54.84,4600,Mae Hong Son,Mae Sariang
Android,Device,"$1,000 or more",District,39.53,60.47,4600,Chaiyaphum,Nong Bua Daeng
Android,Device,"$1,000 or more",District,57.69,42.31,4600,Chiang Rai,Wiang Chai
Android,Device,"$1,000 or more",District,0,100,4600,Nakhon Ratchasima,Soeng Sang
Android,Device,"$1,000 or more",District,0,100,4600,Ranong,Kra Buri
iOS,Device,"$1,000 or more",District,37.86,62.14,4600,Roi Et,Kaset Wisai
iOS,Device,"$1,000 or more",District,65.93,34.06,4600,Phetchabun,Chon Daen
iOS,Device,"$1,000 or more",District,31.59,68.41,4600,Tak,Tha Song Yang
iOS,Device,"$1,000 or more",District,48.58,51.42,4600,Prachin Buri,Ban Sang
iOS,Device,"$1,000 or more",District,45.53,54.47,4600,Mae Hong Son,Mae Sariang
iOS,Device,"$1,000 or more",District,28.64,71.36,4600,Chaiyaphum,Nong Bua Daeng
iOS,Device,"$1,000 or more",District,54.33,45.67,4600,Chiang Rai,Wiang Chai
iOS,Device,"$1,000 or more",District,40.73,59.28,4600,Nakhon Ratchasima,Soeng Sang
iOS,Device,"$1,000 or more",District,40.73,59.27,4600,Ranong,Kra Buri
All OS,Device,"$1,000 or more",District,46.86,53.14,4700,Lampang,Ko Kha
All OS,Device,"$1,000 or more",District,40.96,59.04,4700,Buri Ram,Nong Ki
All OS,Device,"$1,000 or more",District,39.77,60.23,4700,Nakhon Sawan,Lat Yao
All OS,Device,"$1,000 or more",District,24.89,75.11,4700,Pattani,Mayo
Android,Device,"$1,000 or more",District,29.51,70.49,4700,Lampang,Ko Kha
Android,Device,"$1,000 or more",District,40.38,59.62,4700,Buri Ram,Nong Ki
Android,Device,"$1,000 or more",District,37.5,62.5,4700,Nakhon Sawan,Lat Yao
Android,Device,"$1,000 or more",District,0,100,4700,Pattani,Mayo
iOS,Device,"$1,000 or more",District,47.8,52.2,4700,Lampang,Ko Kha
iOS,Device,"$1,000 or more",District,40.14,59.86,4700,Buri Ram,Nong Ki
iOS,Device,"$1,000 or more",District,38.49,61.51,4700,Nakhon Sawan,Lat Yao
iOS,Device,"$1,000 or more",District,26.39,73.6,4700,Pattani,Mayo
All OS,Device,"$1,000 or more",District,44.42,55.58,4800,Ang Thong,Pa Mok
All OS,Device,"$1,000 or more",District,26.32,73.67,4800,Songkhla,Saba Yoi
All OS,Device,"$1,000 or more",District,36.16,63.84,4800,Nong Bua Lam Phu,Na Klang
All OS,Device,"$1,000 or more",District,61.07,38.93,4800,Lamphun,Li
All OS,Device,"$1,000 or more",District,47.89,52.1,4800,,Wiang Sa
All OS,Device,"$1,000 or more",District,55.82,44.18,4800,Phra Nakhon Si Ayutthaya,Lat Bua Luang
All OS,Device,"$1,000 or more",District,47.08,52.92,4800,Chai Nat,Hankha
Android,Device,"$1,000 or more",District,51.94,48.05,4800,Ang Thong,Pa Mok
Android,Device,"$1,000 or more",District,0,100,4800,Songkhla,Saba Yoi
Android,Device,"$1,000 or more",District,0,100,4800,Nong Bua Lam Phu,Na Klang
Android,Device,"$1,000 or more",District,39.02,60.98,4800,Lamphun,Li
Android,Device,"$1,000 or more",District,41.51,58.49,4800,,Wiang Sa
Android,Device,"$1,000 or more",District,100,0,4800,Phra Nakhon Si Ayutthaya,Lat Bua Luang
Android,Device,"$1,000 or more",District,38.78,61.22,4800,Chai Nat,Hankha
iOS,Device,"$1,000 or more",District,42.52,57.47,4800,Ang Thong,Pa Mok
iOS,Device,"$1,000 or more",District,27.63,72.37,4800,Songkhla,Saba Yoi
iOS,Device,"$1,000 or more",District,36.65,63.35,4800,Nong Bua Lam Phu,Na Klang
iOS,Device,"$1,000 or more",District,61.77,38.23,4800,Lamphun,Li
iOS,Device,"$1,000 or more",District,48.04,51.96,4800,,Wiang Sa
iOS,Device,"$1,000 or more",District,54.13,45.88,4800,Phra Nakhon Si Ayutthaya,Lat Bua Luang
iOS,Device,"$1,000 or more",District,48.22,51.78,4800,Chai Nat,Hankha
All OS,Device,"$1,000 or more",District,41.72,58.28,4900,Mae Hong Son,Pai
All OS,Device,"$1,000 or more",District,37.34,62.65,4900,Surat Thani,Tha Chang
All OS,Device,"$1,000 or more",District,48.2,51.8,4900,Nakhon Phanom,Tha Uthen
All OS,Device,"$1,000 or more",District,30.65,69.35,4900,Kanchanaburi,Sai Yok
All OS,Device,"$1,000 or more",District,45.33,54.67,4900,Buri Ram,Ban Kruat
All OS,Device,"$1,000 or more",District,50.29,49.71,4900,Sakon Nakhon,Akat Amnuai
All OS,Device,"$1,000 or more",District,44.42,55.58,4900,Roi Et,Chaturaphak Phiman
All OS,Device,"$1,000 or more",District,58.35,41.65,4900,Uttaradit,Phichai
Android,Device,"$1,000 or more",District,46.81,53.19,4900,Mae Hong Son,Pai
Android,Device,"$1,000 or more",District,40,60,4900,Surat Thani,Tha Chang
Android,Device,"$1,000 or more",District,66.67,33.33,4900,Nakhon Phanom,Tha Uthen
Android,Device,"$1,000 or more",District,36.84,63.16,4900,Kanchanaburi,Sai Yok
Android,Device,"$1,000 or more",District,52,48,4900,Buri Ram,Ban Kruat
Android,Device,"$1,000 or more",District,43.86,56.14,4900,Sakon Nakhon,Akat Amnuai
Android,Device,"$1,000 or more",District,44.44,55.56,4900,Roi Et,Chaturaphak Phiman
Android,Device,"$1,000 or more",District,55,45,4900,Uttaradit,Phichai
iOS,Device,"$1,000 or more",District,41.76,58.24,4900,Mae Hong Son,Pai
iOS,Device,"$1,000 or more",District,39.35,60.65,4900,Surat Thani,Tha Chang
iOS,Device,"$1,000 or more",District,46.28,53.72,4900,Nakhon Phanom,Tha Uthen
iOS,Device,"$1,000 or more",District,30.17,69.83,4900,Kanchanaburi,Sai Yok
iOS,Device,"$1,000 or more",District,43.23,56.77,4900,Buri Ram,Ban Kruat
iOS,Device,"$1,000 or more",District,50.31,49.68,4900,Sakon Nakhon,Akat Amnuai
iOS,Device,"$1,000 or more",District,45.59,54.41,4900,Roi Et,Chaturaphak Phiman
iOS,Device,"$1,000 or more",District,58.82,41.18,4900,Uttaradit,Phichai
All OS,Device,"$1,000 or more",District,48.28,51.72,5000,Narathiwat,Su-ngai Padi
All OS,Device,"$1,000 or more",District,54.74,45.26,5000,Samut Songkhram,Bang Khonthi
All OS,Device,"$1,000 or more",District,26.77,73.23,5000,Chanthaburi,Kaeng Hang Maeo
All OS,Device,"$1,000 or more",District,43.62,56.38,5000,Lampang,Thoen
All OS,Device,"$1,000 or more",District,43.36,56.65,5000,Saraburi,Sao Hai
All OS,Device,"$1,000 or more",District,45.7,54.3,5000,Phra Nakhon Si Ayutthaya,Bang Ban
All OS,Device,"$1,000 or more",District,51.42,48.58,5000,Chai Nat,Sankhaburi
All OS,Device,"$1,000 or more",District,40.93,59.07,5000,Surat Thani,Tha Chana
Android,Device,"$1,000 or more",District,37.04,62.96,5000,Narathiwat,Su-ngai Padi
Android,Device,"$1,000 or more",District,43.24,56.76,5000,Samut Songkhram,Bang Khonthi
Android,Device,"$1,000 or more",District,31.91,68.09,5000,Chanthaburi,Kaeng Hang Maeo
Android,Device,"$1,000 or more",District,37.14,62.86,5000,Lampang,Thoen
Android,Device,"$1,000 or more",District,60.87,39.13,5000,Saraburi,Sao Hai
Android,Device,"$1,000 or more",District,32,68,5000,Phra Nakhon Si Ayutthaya,Bang Ban
Android,Device,"$1,000 or more",District,50,50,5000,Chai Nat,Sankhaburi
Android,Device,"$1,000 or more",District,0,100,5000,Surat Thani,Tha Chana
iOS,Device,"$1,000 or more",District,47.57,52.43,5000,Narathiwat,Su-ngai Padi
iOS,Device,"$1,000 or more",District,54.96,45.03,5000,Samut Songkhram,Bang Khonthi
iOS,Device,"$1,000 or more",District,27.66,72.34,5000,Chanthaburi,Kaeng Hang Maeo
iOS,Device,"$1,000 or more",District,42.83,57.17,5000,Lampang,Thoen
iOS,Device,"$1,000 or more",District,44.57,55.43,5000,Saraburi,Sao Hai
iOS,Device,"$1,000 or more",District,45.9,54.11,5000,Phra Nakhon Si Ayutthaya,Bang Ban
iOS,Device,"$1,000 or more",District,53.68,46.32,5000,Chai Nat,Sankhaburi
iOS,Device,"$1,000 or more",District,40.28,59.72,5000,Surat Thani,Tha Chana
All OS,Device,"$1,000 or more",District,40.48,59.52,5100,Ubon Ratchathani,Nam Yuen
All OS,Device,"$1,000 or more",District,49.42,50.57,5100,Lampang,Hang Chat
All OS,Device,"$1,000 or more",District,54.93,45.07,5100,Chon Buri,Ko Chan
All OS,Device,"$1,000 or more",District,52.03,47.97,5100,Phetchabun,Lom Kao
All OS,Device,"$1,000 or more",District,35.86,64.14,5100,Nakhon Si Thammarat,Cha-uat
All OS,Device,"$1,000 or more",District,38.73,61.27,5100,Nakhon Ratchasima,Prathai
All OS,Device,"$1,000 or more",District,30.86,69.14,5100,Narathiwat,Rueso
All OS,Device,"$1,000 or more",District,53.01,46.99,5100,Roi Et,Phon Thong
All OS,Device,"$1,000 or more",District,41.06,58.94,5100,Udon Thani,Kut Chap
All OS,Device,"$1,000 or more",District,47.76,52.24,5100,Phra Nakhon Si Ayutthaya,Phachi
Android,Device,"$1,000 or more",District,43.75,56.25,5100,Ubon Ratchathani,Nam Yuen
Android,Device,"$1,000 or more",District,0,100,5100,Lampang,Hang Chat
Android,Device,"$1,000 or more",District,47.37,52.63,5100,Chon Buri,Ko Chan
Android,Device,"$1,000 or more",District,36.73,63.27,5100,Phetchabun,Lom Kao
Android,Device,"$1,000 or more",District,36.67,63.33,5100,Nakhon Si Thammarat,Cha-uat
Android,Device,"$1,000 or more",District,43.75,56.25,5100,Nakhon Ratchasima,Prathai
Android,Device,"$1,000 or more",District,0,100,5100,Narathiwat,Rueso
Android,Device,"$1,000 or more",District,0,100,5100,Roi Et,Phon Thong
Android,Device,"$1,000 or more",District,40.43,59.57,5100,Udon Thani,Kut Chap
Android,Device,"$1,000 or more",District,35.85,64.15,5100,Phra Nakhon Si Ayutthaya,Phachi
iOS,Device,"$1,000 or more",District,37.87,62.14,5100,Ubon Ratchathani,Nam Yuen
iOS,Device,"$1,000 or more",District,47.74,52.26,5100,Lampang,Hang Chat
iOS,Device,"$1,000 or more",District,54.6,45.4,5100,Chon Buri,Ko Chan
iOS,Device,"$1,000 or more",District,55.49,44.51,5100,Phetchabun,Lom Kao
iOS,Device,"$1,000 or more",District,35.42,64.57,5100,Nakhon Si Thammarat,Cha-uat
iOS,Device,"$1,000 or more",District,37.88,62.13,5100,Nakhon Ratchasima,Prathai
iOS,Device,"$1,000 or more",District,29.84,70.16,5100,Narathiwat,Rueso
iOS,Device,"$1,000 or more",District,54.7,45.31,5100,Roi Et,Phon Thong
iOS,Device,"$1,000 or more",District,42.04,57.96,5100,Udon Thani,Kut Chap
iOS,Device,"$1,000 or more",District,46.8,53.2,5100,Phra Nakhon Si Ayutthaya,Phachi
All OS,Device,"$1,000 or more",District,39.11,60.89,5200,Surat Thani,Khiri Rat Nikhom
All OS,Device,"$1,000 or more",District,41.5,58.5,5200,Sa Kaeo,Wang Nam Yen
All OS,Device,"$1,000 or more",District,48.79,51.21,5200,Sakon Nakhon,Phanna Nikhom
Android,Device,"$1,000 or more",District,100,0,5200,Surat Thani,Khiri Rat Nikhom
Android,Device,"$1,000 or more",District,53.33,46.67,5200,Sa Kaeo,Wang Nam Yen
Android,Device,"$1,000 or more",District,45.9,54.1,5200,Sakon Nakhon,Phanna Nikhom
iOS,Device,"$1,000 or more",District,40.12,59.89,5200,Surat Thani,Khiri Rat Nikhom
iOS,Device,"$1,000 or more",District,39.25,60.75,5200,Sa Kaeo,Wang Nam Yen
iOS,Device,"$1,000 or more",District,50,50,5200,Sakon Nakhon,Phanna Nikhom
All OS,Device,"$1,000 or more",District,53.23,46.77,5300,Buri Ram,Satuek
All OS,Device,"$1,000 or more",District,41.67,58.33,5300,Nakhon Sawan,Banphot Phisai
All OS,Device,"$1,000 or more",District,35.14,64.86,5300,Chanthaburi,Na Yai Am
All OS,Device,"$1,000 or more",District,43.53,56.47,5300,Chiang Rai,Mae Fa Luang
All OS,Device,"$1,000 or more",District,49.45,50.55,5300,Ubon Ratchathani,Khueang Nai
All OS,Device,"$1,000 or more",District,64.17,35.83,5300,Khon Kaen,Phu Wiang
All OS,Device,"$1,000 or more",District,71.51,28.49,5300,Sukhothai,Kong Krailat
All OS,Device,"$1,000 or more",District,55.06,44.94,5300,Phetchabun,Bueng Sam Phan
All OS,Device,"$1,000 or more",District,38.99,61,5300,Prachuap Khiri Khan,Sam Roi Yot
Android,Device,"$1,000 or more",District,49.15,50.85,5300,Buri Ram,Satuek
Android,Device,"$1,000 or more",District,33.33,66.67,5300,Nakhon Sawan,Banphot Phisai
Android,Device,"$1,000 or more",District,0,100,5300,Chanthaburi,Na Yai Am
Android,Device,"$1,000 or more",District,23.91,76.09,5300,Chiang Rai,Mae Fa Luang
Android,Device,"$1,000 or more",District,0,100,5300,Ubon Ratchathani,Khueang Nai
Android,Device,"$1,000 or more",District,40,60,5300,Khon Kaen,Phu Wiang
Android,Device,"$1,000 or more",District,62.5,37.5,5300,Sukhothai,Kong Krailat
Android,Device,"$1,000 or more",District,55.56,44.44,5300,Phetchabun,Bueng Sam Phan
Android,Device,"$1,000 or more",District,30.77,69.23,5300,Prachuap Khiri Khan,Sam Roi Yot
iOS,Device,"$1,000 or more",District,53.92,46.08,5300,Buri Ram,Satuek
iOS,Device,"$1,000 or more",District,39.88,60.12,5300,Nakhon Sawan,Banphot Phisai
iOS,Device,"$1,000 or more",District,34.74,65.26,5300,Chanthaburi,Na Yai Am
iOS,Device,"$1,000 or more",District,45.19,54.82,5300,Chiang Rai,Mae Fa Luang
iOS,Device,"$1,000 or more",District,49.51,50.49,5300,Ubon Ratchathani,Khueang Nai
iOS,Device,"$1,000 or more",District,66.74,33.26,5300,Khon Kaen,Phu Wiang
iOS,Device,"$1,000 or more",District,72.93,27.07,5300,Sukhothai,Kong Krailat
iOS,Device,"$1,000 or more",District,55.84,44.16,5300,Phetchabun,Bueng Sam Phan
iOS,Device,"$1,000 or more",District,42.1,57.91,5300,Prachuap Khiri Khan,Sam Roi Yot
All OS,Device,"$1,000 or more",District,63.31,36.68,5400,Songkhla,Ranot
All OS,Device,"$1,000 or more",District,48.79,51.21,5400,,Phu Phiang
All OS,Device,"$1,000 or more",District,64.22,35.78,5400,Kamphaeng Phet,Phran Kratai
All OS,Device,"$1,000 or more",District,50.18,49.82,5400,Loei,Chiang Khan
All OS,Device,"$1,000 or more",District,35.09,64.92,5400,Chanthaburi,Soi Dao
All OS,Device,"$1,000 or more",District,38.72,61.28,5400,,Pua
All OS,Device,"$1,000 or more",District,57.47,42.53,5400,Nakhon Si Thammarat,Khanom
All OS,Device,"$1,000 or more",District,62.57,37.43,5400,Sukhothai,Si Samrong
Android,Device,"$1,000 or more",District,74.36,25.64,5400,Songkhla,Ranot
Android,Device,"$1,000 or more",District,67.69,32.31,5400,,Phu Phiang
Android,Device,"$1,000 or more",District,100,0,5400,Kamphaeng Phet,Phran Kratai
Android,Device,"$1,000 or more",District,71.74,28.26,5400,Loei,Chiang Khan
Android,Device,"$1,000 or more",District,39.19,60.81,5400,Chanthaburi,Soi Dao
Android,Device,"$1,000 or more",District,33.87,66.13,5400,,Pua
Android,Device,"$1,000 or more",District,44.12,55.88,5400,Nakhon Si Thammarat,Khanom
Android,Device,"$1,000 or more",District,28.95,71.05,5400,Sukhothai,Si Samrong
iOS,Device,"$1,000 or more",District,62.74,37.26,5400,Songkhla,Ranot
iOS,Device,"$1,000 or more",District,48.87,51.13,5400,,Phu Phiang
iOS,Device,"$1,000 or more",District,63.58,36.42,5400,Kamphaeng Phet,Phran Kratai
iOS,Device,"$1,000 or more",District,50.31,49.69,5400,Loei,Chiang Khan
iOS,Device,"$1,000 or more",District,34.72,65.28,5400,Chanthaburi,Soi Dao
iOS,Device,"$1,000 or more",District,40.21,59.79,5400,,Pua
iOS,Device,"$1,000 or more",District,56.92,43.08,5400,Nakhon Si Thammarat,Khanom
iOS,Device,"$1,000 or more",District,63.4,36.6,5400,Sukhothai,Si Samrong
All OS,Device,"$1,000 or more",District,32.91,67.08,5500,Nakhon Phanom,Si Songkhram
All OS,Device,"$1,000 or more",District,26.54,73.45,5500,Kanchanaburi,Thong Pha Phum
All OS,Device,"$1,000 or more",District,50.96,49.04,5500,Khon Kaen,Kranuan
All OS,Device,"$1,000 or more",District,50,50,5500,Surin,Rattanaburi
All OS,Device,"$1,000 or more",District,44.67,55.34,5500,Phra Nakhon Si Ayutthaya,Tha Ruea
All OS,Device,"$1,000 or more",District,42.52,57.49,5500,Udon Thani,Ban Phue
All OS,Device,"$1,000 or more",District,47.63,52.37,5500,Ubon Ratchathani,Trakan Phuet Phon
All OS,Device,"$1,000 or more",District,30.56,69.44,5500,Nakhon Si Thammarat,Chawang
Android,Device,"$1,000 or more",District,36.59,63.41,5500,Nakhon Phanom,Si Songkhram
Android,Device,"$1,000 or more",District,36.07,63.93,5500,Kanchanaburi,Thong Pha Phum
Android,Device,"$1,000 or more",District,57.14,42.86,5500,Khon Kaen,Kranuan
Android,Device,"$1,000 or more",District,42.86,57.14,5500,Surin,Rattanaburi
Android,Device,"$1,000 or more",District,55.44,44.57,5500,Phra Nakhon Si Ayutthaya,Tha Ruea
Android,Device,"$1,000 or more",District,44.23,55.77,5500,Udon Thani,Ban Phue
Android,Device,"$1,000 or more",District,30.95,69.05,5500,Ubon Ratchathani,Trakan Phuet Phon
Android,Device,"$1,000 or more",District,32.43,67.57,5500,Nakhon Si Thammarat,Chawang
iOS,Device,"$1,000 or more",District,33.46,66.54,5500,Nakhon Phanom,Si Songkhram
iOS,Device,"$1,000 or more",District,23.55,76.45,5500,Kanchanaburi,Thong Pha Phum
iOS,Device,"$1,000 or more",District,50.39,49.61,5500,Khon Kaen,Kranuan
iOS,Device,"$1,000 or more",District,50.79,49.2,5500,Surin,Rattanaburi
iOS,Device,"$1,000 or more",District,43.57,56.43,5500,Phra Nakhon Si Ayutthaya,Tha Ruea
iOS,Device,"$1,000 or more",District,44.65,55.36,5500,Udon Thani,Ban Phue
iOS,Device,"$1,000 or more",District,47.11,52.89,5500,Ubon Ratchathani,Trakan Phuet Phon
iOS,Device,"$1,000 or more",District,33.15,66.85,5500,Nakhon Si Thammarat,Chawang
All OS,Device,"$1,000 or more",District,36.73,63.27,5600,Uthai Thani,Ban Rai
All OS,Device,"$1,000 or more",District,46.18,53.82,5600,Si Sa Ket,Kanthararom
All OS,Device,"$1,000 or more",District,46.83,53.17,5600,Chaiyaphum,Chatturat
Android,Device,"$1,000 or more",District,44.44,55.56,5600,Uthai Thani,Ban Rai
Android,Device,"$1,000 or more",District,50,50,5600,Si Sa Ket,Kanthararom
Android,Device,"$1,000 or more",District,37.29,62.71,5600,Chaiyaphum,Chatturat
iOS,Device,"$1,000 or more",District,35.76,64.24,5600,Uthai Thani,Ban Rai
iOS,Device,"$1,000 or more",District,47.44,52.56,5600,Si Sa Ket,Kanthararom
iOS,Device,"$1,000 or more",District,48.3,51.7,5600,Chaiyaphum,Chatturat
All OS,Device,"$1,000 or more",District,38.07,61.94,5700,Roi Et,Suwannaphum
All OS,Device,"$1,000 or more",District,54.51,45.49,5700,Si Sa Ket,Khun Han
All OS,Device,"$1,000 or more",District,50,50,5700,Narathiwat,Tak Bai
All OS,Device,"$1,000 or more",District,55.31,44.69,5700,Phetchaburi,Ban Laem
All OS,Device,"$1,000 or more",District,46.7,53.3,5700,Nakhon Sawan,Phaisali
All OS,Device,"$1,000 or more",District,38.59,61.41,5700,Chon Buri,Nong Yai
Android,Device,"$1,000 or more",District,20,80,5700,Roi Et,Suwannaphum
Android,Device,"$1,000 or more",District,0,100,5700,Si Sa Ket,Khun Han
Android,Device,"$1,000 or more",District,50.91,49.09,5700,Narathiwat,Tak Bai
Android,Device,"$1,000 or more",District,60.94,39.06,5700,Phetchaburi,Ban Laem
Android,Device,"$1,000 or more",District,57.14,42.86,5700,Nakhon Sawan,Phaisali
Android,Device,"$1,000 or more",District,24.56,75.44,5700,Chon Buri,Nong Yai
iOS,Device,"$1,000 or more",District,37.52,62.48,5700,Roi Et,Suwannaphum
iOS,Device,"$1,000 or more",District,56.43,43.58,5700,Si Sa Ket,Khun Han
iOS,Device,"$1,000 or more",District,50.19,49.82,5700,Narathiwat,Tak Bai
iOS,Device,"$1,000 or more",District,55.29,44.71,5700,Phetchaburi,Ban Laem
iOS,Device,"$1,000 or more",District,45.99,54.01,5700,Nakhon Sawan,Phaisali
iOS,Device,"$1,000 or more",District,40.92,59.08,5700,Chon Buri,Nong Yai
All OS,Device,"$1,000 or more",District,30.49,69.51,5800,Pattani,Yaring
All OS,Device,"$1,000 or more",District,29.22,70.77,5800,Prachuap Khiri Khan,Thap Sakae
All OS,Device,"$1,000 or more",District,37.31,62.69,5800,Krabi,Nuea Khlong
All OS,Device,"$1,000 or more",District,54.1,45.9,5800,Phetchabun,Nong Phai
All OS,Device,"$1,000 or more",District,44.94,55.06,5800,Krabi,Ko Lanta
Android,Device,"$1,000 or more",District,33.33,66.67,5800,Pattani,Yaring
Android,Device,"$1,000 or more",District,44.9,55.1,5800,Prachuap Khiri Khan,Thap Sakae
Android,Device,"$1,000 or more",District,50,50,5800,Krabi,Nuea Khlong
Android,Device,"$1,000 or more",District,60,40,5800,Phetchabun,Nong Phai
Android,Device,"$1,000 or more",District,58.11,41.89,5800,Krabi,Ko Lanta
iOS,Device,"$1,000 or more",District,29.11,70.89,5800,Pattani,Yaring
iOS,Device,"$1,000 or more",District,30.32,69.68,5800,Prachuap Khiri Khan,Thap Sakae
iOS,Device,"$1,000 or more",District,36.16,63.85,5800,Krabi,Nuea Khlong
iOS,Device,"$1,000 or more",District,55.01,44.99,5800,Phetchabun,Nong Phai
iOS,Device,"$1,000 or more",District,44.23,55.77,5800,Krabi,Ko Lanta
All OS,Device,"$1,000 or more",District,50.51,49.49,5900,Phetchabun,Si Thep
All OS,Device,"$1,000 or more",District,44.59,55.41,5900,Uthai Thani,Nong Chang
All OS,Device,"$1,000 or more",District,42.28,57.72,5900,Ang Thong,Pho Thong
All OS,Device,"$1,000 or more",District,66.39,33.61,5900,Sukhothai,Khiri Mat
All OS,Device,"$1,000 or more",District,44.6,55.4,5900,Nong Bua Lam Phu,Si Bun Rueang
All OS,Device,"$1,000 or more",District,60.56,39.43,5900,Ubon Ratchathani,Khemarat
Android,Device,"$1,000 or more",District,40.63,59.38,5900,Phetchabun,Si Thep
Android,Device,"$1,000 or more",District,35.71,64.29,5900,Uthai Thani,Nong Chang
Android,Device,"$1,000 or more",District,32.81,67.19,5900,Ang Thong,Pho Thong
Android,Device,"$1,000 or more",District,65.71,34.29,5900,Sukhothai,Khiri Mat
