AREA_TYPE,AREA_CD,AREA_NAME,ACTUAL_SUBS,TARGET_SUBS,%ACH_SUBS,ACTUAL_GA,TARGET_GA,%ACH_GA,ACTUAL_GA_INSTALL,TARGET_GA_INSTALL,%ACH_GA_INSTALL
CCAA,1101,SAMUT PRAKAN_MUEANG SAMUT PRAKAN,,,,379.0,,,526.0,,
CCAA,1102,SAMUT PRAKAN_BANG BO,,,,16.0,,,123.0,,
CCAA,1103,SAMUT PRAKAN_BANG PHLI,,,,465.0,,,365.0,,
CCAA,1104,SAMUT PRAKAN_PHRA PRADAENG,,,,34.0,,,108.0,,
CCAA,1105,SAMUT PRAKAN_PHRA SAMUT CHEDI,,,,225.0,,,236.0,,
CCAA,1106,SAMUT PRAKAN_BANG SAO THONG,,,,189.0,,,143.0,,
CCAA,1201,NONTHABURI_MUEANG NONTHABURI,,,,606.0,,,349.0,,
CCAA,1202,NONTHABURI_BANG KRUAI,,,,113.0,,,126.0,,
CCAA,1203,NONTHABURI_BANG YAI,,,,471.0,,,132.0,,
CCAA,1204,NONTHABURI_BANG BUA THONG,,,,821.0,,,265.0,,
CCAA,1205,NONTHABURI_SAI NOI,,,,5.0,,,62.0,,
CCAA,1206,NONTHABURI_PAK KRET,,,,294.0,,,299.0,,
CCAA,1301,PATHUM THANI_MUEANG PATHUM THANI,,,,312.0,,,224.0,,
CCAA,1302,PATHUM THANI_KHLONG LUANG,,,,156.0,,,428.0,,
CCAA,1303,PATHUM THANI_THANYABURI,,,,362.0,,,199.0,,
CCAA,1304,PATHUM THANI_NONG SUEA,,,,48.0,,,25.0,,
CCAA,1305,PATHUM THANI_LAT LUM KAEO,,,,66.0,,,81.0,,
CCAA,1306,PATHUM THANI_LAM LUK KA,,,,151.0,,,255.0,,
CCAA,1307,PATHUM THANI_SAM KHOK,,,,312.0,,,40.0,,
CCAA,1401,PHRA NAKHON SI AYUTTHAYA_PHRA NAKHON SI AYUTTHAYA,,,,350.0,,,126.0,,
